Data; Group; Nome_POD; APT
seg 27 fev 2023 16:08:14 -03; Group 2; vote-79787c6c8b-kb9gv; 11.01677524894
seg 27 fev 2023 16:08:25 -03; Group 2; vote-79787c6c8b-kb9gv; 11.01677524905
seg 27 fev 2023 16:08:35 -03; Group 2; vote-79787c6c8b-kb9gv; 10.01677524915
seg 27 fev 2023 16:08:46 -03; Group 2; vote-79787c6c8b-kb9gv; 11.01677524926
seg 27 fev 2023 16:08:57 -03; Group 2; vote-79787c6c8b-kb9gv; 11.01677524937
seg 27 fev 2023 16:09:07 -03; Group 2; vote-79787c6c8b-kb9gv; 50.01677524947
seg 27 fev 2023 16:09:18 -03; Group 2; vote-79787c6c8b-kb9gv; 11.01677524958
seg 27 fev 2023 16:09:28 -03; Group 2; vote-79787c6c8b-kb9gv; 10.01677524968
seg 27 fev 2023 16:09:39 -03; Group 2; vote-79787c6c8b-kb9gv; 11.01677524979
seg 27 fev 2023 16:09:50 -03; Group 2; vote-79787c6c8b-kb9gv; 11.01677524990
seg 27 fev 2023 16:10:00 -03; Group 2; vote-79787c6c8b-kb9gv; 50.01677525000
seg 27 fev 2023 16:10:11 -03; Group 2; vote-79787c6c8b-kb9gv; 11.01677525011
seg 27 fev 2023 16:10:22 -03; Group 2; vote-79787c6c8b-kb9gv; 11.01677525022
seg 27 fev 2023 16:10:32 -03; Group 2; vote-79787c6c8b-kb9gv; 10.01677525032
seg 27 fev 2023 16:10:43 -03; Group 2; vote-79787c6c8b-kb9gv; 11.01677525043
seg 27 fev 2023 16:10:54 -03; Group 2; vote-79787c6c8b-kb9gv; 11.01677525054
seg 27 fev 2023 16:11:04 -03; Group 2; vote-79787c6c8b-kb9gv; 50.01677525064
seg 27 fev 2023 16:11:15 -03; Group 2; vote-79787c6c8b-kb9gv; 11.01677525075
seg 27 fev 2023 16:11:25 -03; Group 2; vote-79787c6c8b-kb9gv; 10.01677525085
seg 27 fev 2023 16:11:36 -03; Group 2; vote-79787c6c8b-kb9gv; 11.01677525096
seg 27 fev 2023 16:11:47 -03; Group 2; vote-79787c6c8b-kb9gv; 11.01677525107
seg 27 fev 2023 16:11:57 -03; Group 2; vote-79787c6c8b-kb9gv; 10.01677525117
seg 27 fev 2023 16:12:08 -03; Group 2; vote-79787c6c8b-kb9gv; 51.01677525128
seg 27 fev 2023 16:12:19 -03; Group 2; vote-79787c6c8b-kb9gv; 11.01677525139
seg 27 fev 2023 16:12:29 -03; Group 2; vote-79787c6c8b-kb9gv; 10.01677525149
seg 27 fev 2023 16:12:40 -03; Group 2; vote-79787c6c8b-kb9gv; 11.01677525160
seg 27 fev 2023 16:12:51 -03; Group 2; vote-79787c6c8b-kb9gv; 11.01677525171
seg 27 fev 2023 16:13:01 -03; Group 2; vote-79787c6c8b-kb9gv; 50.01677525181
seg 27 fev 2023 16:13:12 -03; Group 2; vote-79787c6c8b-kb9gv; 11.01677525192
seg 27 fev 2023 16:13:22 -03; Group 2; vote-79787c6c8b-kb9gv; 10.01677525202
