Data; Group; Nome_POD; PING
seg 27 fev 2023 16:41:22 -03; Group 2; redis-67db9bd79b-6v9ng; 18.01677526882
seg 27 fev 2023 16:41:39 -03; Group 2; redis-67db9bd79b-6v9ng; 17.01677526899
seg 27 fev 2023 16:41:57 -03; Group 2; redis-67db9bd79b-6v9ng; 18.01677526917
seg 27 fev 2023 16:42:14 -03; Group 2; redis-67db9bd79b-6v9ng; 57.01677526934
seg 27 fev 2023 16:42:31 -03; Group 2; redis-67db9bd79b-6v9ng; 17.01677526951
seg 27 fev 2023 16:42:49 -03; Group 2; redis-67db9bd79b-6v9ng; 18.01677526969
seg 27 fev 2023 16:43:06 -03; Group 2; redis-67db9bd79b-6v9ng; 57.01677526986
seg 27 fev 2023 16:43:24 -03; Group 2; redis-67db9bd79b-6v9ng; 18.01677527004
seg 27 fev 2023 16:43:41 -03; Group 2; redis-67db9bd79b-6v9ng; 17.01677527021
seg 27 fev 2023 16:43:59 -03; Group 2; redis-67db9bd79b-6v9ng; 18.01677527039
seg 27 fev 2023 16:44:16 -03; Group 2; redis-67db9bd79b-6v9ng; 57.01677527056
seg 27 fev 2023 16:44:33 -03; Group 2; redis-67db9bd79b-6v9ng; 17.01677527073
seg 27 fev 2023 16:44:51 -03; Group 2; redis-67db9bd79b-6v9ng; 18.01677527091
seg 27 fev 2023 16:45:08 -03; Group 2; redis-67db9bd79b-6v9ng; 57.01677527108
seg 27 fev 2023 16:45:25 -03; Group 2; redis-67db9bd79b-6v9ng; 17.01677527125
seg 27 fev 2023 16:45:43 -03; Group 2; redis-67db9bd79b-6v9ng; 18.01677527143
seg 27 fev 2023 16:46:00 -03; Group 2; redis-67db9bd79b-6v9ng; 57.01677527160
seg 27 fev 2023 16:46:18 -03; Group 2; redis-67db9bd79b-6v9ng; 18.01677527178
seg 27 fev 2023 16:46:35 -03; Group 2; redis-67db9bd79b-6v9ng; 17.01677527195
seg 27 fev 2023 16:46:52 -03; Group 2; redis-67db9bd79b-6v9ng; 17.01677527212
seg 27 fev 2023 16:47:10 -03; Group 2; redis-67db9bd79b-6v9ng; 58.01677527230
seg 27 fev 2023 16:47:27 -03; Group 2; redis-67db9bd79b-6v9ng; 17.01677527247
seg 27 fev 2023 16:47:45 -03; Group 2; redis-67db9bd79b-6v9ng; 18.01677527265
seg 27 fev 2023 16:48:02 -03; Group 2; redis-67db9bd79b-6v9ng; 57.01677527282
seg 27 fev 2023 16:48:19 -03; Group 2; redis-67db9bd79b-6v9ng; 17.01677527299
seg 27 fev 2023 16:48:37 -03; Group 2; redis-67db9bd79b-6v9ng; 18.01677527317
seg 27 fev 2023 16:48:54 -03; Group 2; redis-67db9bd79b-6v9ng; 17.01677527334
seg 27 fev 2023 16:49:12 -03; Group 2; redis-67db9bd79b-6v9ng; 58.01677527352
seg 27 fev 2023 16:49:29 -03; Group 2; redis-67db9bd79b-6v9ng; 17.01677527369
seg 27 fev 2023 16:49:46 -03; Group 2; redis-67db9bd79b-6v9ng; 17.01677527386
