Data; Group; Nome_POD; CURL
ter 28 fev 2023 11:14:08 -03; Group 2; redis-67db9bd79b-cp5zn; 5.01677593648
ter 28 fev 2023 11:14:13 -03; Group 2; redis-67db9bd79b-cp5zn; 5.01677593653
ter 28 fev 2023 11:14:19 -03; Group 2; redis-67db9bd79b-cp5zn; 6.01677593659
ter 28 fev 2023 11:14:24 -03; Group 2; redis-67db9bd79b-cp5zn; 5.01677593664
ter 28 fev 2023 11:14:29 -03; Group 2; redis-67db9bd79b-cp5zn; 5.01677593669
ter 28 fev 2023 11:14:34 -03; Group 2; redis-67db9bd79b-cp5zn; 5.01677593674
ter 28 fev 2023 11:14:40 -03; Group 2; redis-67db9bd79b-cp5zn; 6.01677593680
ter 28 fev 2023 11:14:45 -03; Group 2; redis-67db9bd79b-cp5zn; 5.01677593685
ter 28 fev 2023 11:14:50 -03; Group 2; redis-67db9bd79b-cp5zn; 5.01677593690
ter 28 fev 2023 11:14:55 -03; Group 2; redis-67db9bd79b-cp5zn; 5.01677593695
ter 28 fev 2023 11:15:01 -03; Group 2; redis-67db9bd79b-cp5zn; 46.01677593701
ter 28 fev 2023 11:15:06 -03; Group 2; redis-67db9bd79b-cp5zn; 5.01677593706
ter 28 fev 2023 11:15:11 -03; Group 2; redis-67db9bd79b-cp5zn; 5.01677593711
ter 28 fev 2023 11:15:16 -03; Group 2; redis-67db9bd79b-cp5zn; 5.01677593716
ter 28 fev 2023 11:15:22 -03; Group 2; redis-67db9bd79b-cp5zn; 6.01677593722
ter 28 fev 2023 11:15:27 -03; Group 2; redis-67db9bd79b-cp5zn; 5.01677593727
ter 28 fev 2023 11:15:32 -03; Group 2; redis-67db9bd79b-cp5zn; 5.01677593732
ter 28 fev 2023 11:15:37 -03; Group 2; redis-67db9bd79b-cp5zn; 5.01677593737
ter 28 fev 2023 11:15:42 -03; Group 2; redis-67db9bd79b-cp5zn; 5.01677593742
ter 28 fev 2023 11:15:48 -03; Group 2; redis-67db9bd79b-cp5zn; 6.01677593748
ter 28 fev 2023 11:15:53 -03; Group 2; redis-67db9bd79b-cp5zn; 5.01677593753
ter 28 fev 2023 11:15:58 -03; Group 2; redis-67db9bd79b-cp5zn; 5.01677593758
ter 28 fev 2023 11:16:03 -03; Group 2; redis-67db9bd79b-cp5zn; 45.01677593763
ter 28 fev 2023 11:16:09 -03; Group 2; redis-67db9bd79b-cp5zn; 6.01677593769
ter 28 fev 2023 11:16:14 -03; Group 2; redis-67db9bd79b-cp5zn; 5.01677593774
ter 28 fev 2023 11:16:19 -03; Group 2; redis-67db9bd79b-cp5zn; 5.01677593779
ter 28 fev 2023 11:16:24 -03; Group 2; redis-67db9bd79b-cp5zn; 5.01677593784
ter 28 fev 2023 11:16:30 -03; Group 2; redis-67db9bd79b-cp5zn; 6.01677593790
ter 28 fev 2023 11:16:35 -03; Group 2; redis-67db9bd79b-cp5zn; 5.01677593795
ter 28 fev 2023 11:16:40 -03; Group 2; redis-67db9bd79b-cp5zn; 5.01677593800
