Data; Group; Nome_POD; PING
ter 28 fev 2023 16:09:23 -03; Group 2; redis-67db9bd79b-cp5zn; 18.01677611363
ter 28 fev 2023 16:09:40 -03; Group 2; redis-67db9bd79b-cp5zn; 17.01677611380
ter 28 fev 2023 16:09:58 -03; Group 2; redis-67db9bd79b-cp5zn; 18.01677611398
ter 28 fev 2023 16:10:15 -03; Group 2; redis-67db9bd79b-cp5zn; 57.01677611415
ter 28 fev 2023 16:10:32 -03; Group 2; redis-67db9bd79b-cp5zn; 17.01677611432
ter 28 fev 2023 16:10:50 -03; Group 2; redis-67db9bd79b-cp5zn; 18.01677611450
ter 28 fev 2023 16:11:07 -03; Group 2; redis-67db9bd79b-cp5zn; 57.01677611467
ter 28 fev 2023 16:11:25 -03; Group 2; redis-67db9bd79b-cp5zn; 18.01677611485
ter 28 fev 2023 16:11:42 -03; Group 2; redis-67db9bd79b-cp5zn; 17.01677611502
ter 28 fev 2023 16:12:00 -03; Group 2; redis-67db9bd79b-cp5zn; 58.01677611520
ter 28 fev 2023 16:12:17 -03; Group 2; redis-67db9bd79b-cp5zn; 17.01677611537
ter 28 fev 2023 16:12:34 -03; Group 2; redis-67db9bd79b-cp5zn; 17.01677611554
ter 28 fev 2023 16:12:52 -03; Group 2; redis-67db9bd79b-cp5zn; 18.01677611572
ter 28 fev 2023 16:13:09 -03; Group 2; redis-67db9bd79b-cp5zn; 57.01677611589
ter 28 fev 2023 16:13:27 -03; Group 2; redis-67db9bd79b-cp5zn; 18.01677611607
ter 28 fev 2023 16:13:44 -03; Group 2; redis-67db9bd79b-cp5zn; 17.01677611624
ter 28 fev 2023 16:14:01 -03; Group 2; redis-67db9bd79b-cp5zn; 57.01677611641
ter 28 fev 2023 16:14:19 -03; Group 2; redis-67db9bd79b-cp5zn; 17.01677611659
ter 28 fev 2023 16:14:36 -03; Group 2; redis-67db9bd79b-cp5zn; 17.01677611676
ter 28 fev 2023 16:14:54 -03; Group 2; redis-67db9bd79b-cp5zn; 18.01677611694
ter 28 fev 2023 16:15:11 -03; Group 2; redis-67db9bd79b-cp5zn; 57.01677611711
ter 28 fev 2023 16:15:29 -03; Group 2; redis-67db9bd79b-cp5zn; 18.01677611729
ter 28 fev 2023 16:15:46 -03; Group 2; redis-67db9bd79b-cp5zn; 17.01677611746
ter 28 fev 2023 16:16:03 -03; Group 2; redis-67db9bd79b-cp5zn; 57.01677611763
ter 28 fev 2023 16:16:21 -03; Group 2; redis-67db9bd79b-cp5zn; 18.01677611781
ter 28 fev 2023 16:16:38 -03; Group 2; redis-67db9bd79b-cp5zn; 17.01677611798
ter 28 fev 2023 16:16:56 -03; Group 2; redis-67db9bd79b-cp5zn; 18.01677611816
ter 28 fev 2023 16:17:13 -03; Group 2; redis-67db9bd79b-cp5zn; 57.01677611833
ter 28 fev 2023 16:17:30 -03; Group 2; redis-67db9bd79b-cp5zn; 17.01677611850
ter 28 fev 2023 16:17:48 -03; Group 2; redis-67db9bd79b-cp5zn; 18.01677611868
