Data; Group; Nome_POD; PING
ter 28 fev 2023 16:18:06 -03; Group 2; result-77f68799c4-4gzjs; 58.01677611886
ter 28 fev 2023 16:18:24 -03; Group 2; result-77f68799c4-4gzjs; 18.01677611904
ter 28 fev 2023 16:18:43 -03; Group 2; result-77f68799c4-4gzjs; 19.01677611923
ter 28 fev 2023 16:19:01 -03; Group 2; result-77f68799c4-4gzjs; 58.01677611941
ter 28 fev 2023 16:19:19 -03; Group 2; result-77f68799c4-4gzjs; 18.01677611959
ter 28 fev 2023 16:19:37 -03; Group 2; result-77f68799c4-4gzjs; 18.01677611977
ter 28 fev 2023 16:19:56 -03; Group 2; result-77f68799c4-4gzjs; 18.01677611995
ter 28 fev 2023 16:20:14 -03; Group 2; result-77f68799c4-4gzjs; 58.01677612014
ter 28 fev 2023 16:20:32 -03; Group 2; result-77f68799c4-4gzjs; 18.01677612032
ter 28 fev 2023 16:20:50 -03; Group 2; result-77f68799c4-4gzjs; 18.01677612050
ter 28 fev 2023 16:21:09 -03; Group 2; result-77f68799c4-4gzjs; 59.01677612069
ter 28 fev 2023 16:21:27 -03; Group 2; result-77f68799c4-4gzjs; 18.01677612087
ter 28 fev 2023 16:21:45 -03; Group 2; result-77f68799c4-4gzjs; 18.01677612105
ter 28 fev 2023 16:22:03 -03; Group 2; result-77f68799c4-4gzjs; 58.01677612123
ter 28 fev 2023 16:22:22 -03; Group 2; result-77f68799c4-4gzjs; 19.01677612142
ter 28 fev 2023 16:22:40 -03; Group 2; result-77f68799c4-4gzjs; 18.01677612160
ter 28 fev 2023 16:22:58 -03; Group 2; result-77f68799c4-4gzjs; 18.01677612178
ter 28 fev 2023 16:23:16 -03; Group 2; result-77f68799c4-4gzjs; 58.01677612196
ter 28 fev 2023 16:23:35 -03; Group 2; result-77f68799c4-4gzjs; 19.01677612215
ter 28 fev 2023 16:23:53 -03; Group 2; result-77f68799c4-4gzjs; 18.01677612233
ter 28 fev 2023 16:24:11 -03; Group 2; result-77f68799c4-4gzjs; 58.01677612251
ter 28 fev 2023 16:24:29 -03; Group 2; result-77f68799c4-4gzjs; 18.01677612269
ter 28 fev 2023 16:24:48 -03; Group 2; result-77f68799c4-4gzjs; 19.01677612288
ter 28 fev 2023 16:25:06 -03; Group 2; result-77f68799c4-4gzjs; 58.01677612306
ter 28 fev 2023 16:25:24 -03; Group 2; result-77f68799c4-4gzjs; 18.01677612324
ter 28 fev 2023 16:25:42 -03; Group 2; result-77f68799c4-4gzjs; 18.01677612342
ter 28 fev 2023 16:26:01 -03; Group 2; result-77f68799c4-4gzjs; 59.01677612361
ter 28 fev 2023 16:26:19 -03; Group 2; result-77f68799c4-4gzjs; 18.01677612379
ter 28 fev 2023 16:26:37 -03; Group 2; result-77f68799c4-4gzjs; 18.01677612397
ter 28 fev 2023 16:26:55 -03; Group 2; result-77f68799c4-4gzjs; 18.01677612415
