Group,APT
Group 2,201.01677705246
Group 2,201.01677705368
Group 2,202.01677705490
Group 2,202.01677705612
Group 2,201.01677705733
Group 2,202.01677705855
Group 2,201.01677705976
Group 2,202.01677706098
Group 2,201.01677706219
Group 2,202.01677706341
Group 2,202.01677706463
Group 2,201.01677706584
Group 2,202.01677706706
Group 2,201.01677706827
Group 2,202.01677706949
Group 2,202.01677707071
Group 2,201.01677707192
Group 2,202.01677707314
Group 2,201.01677707435
Group 2,202.01677707557
Group 2,202.01677707679
Group 2,201.01677707800
Group 2,202.01677707922
Group 2,4202.01677708044
Group 2,201.01677708165
Group 2,202.01677708287
Group 2,201.01677708408
Group 2,202.01677708530
Group 2,201.01677708651
Group 2,202.01677708773
