Data; Group; Nome_POD; CURL
qua 01 mar 2023 17:15:43 -03; Group 2; redis-67db9bd79b-4fgx9; 5.01677701743
qua 01 mar 2023 17:15:48 -03; Group 2; redis-67db9bd79b-4fgx9; 5.01677701748
qua 01 mar 2023 17:15:53 -03; Group 2; redis-67db9bd79b-4fgx9; 5.01677701753
qua 01 mar 2023 17:15:58 -03; Group 2; redis-67db9bd79b-4fgx9; 5.01677701758
qua 01 mar 2023 17:16:04 -03; Group 2; redis-67db9bd79b-4fgx9; 46.01677701764
qua 01 mar 2023 17:16:09 -03; Group 2; redis-67db9bd79b-4fgx9; 5.01677701769
qua 01 mar 2023 17:16:14 -03; Group 2; redis-67db9bd79b-4fgx9; 5.01677701774
qua 01 mar 2023 17:16:19 -03; Group 2; redis-67db9bd79b-4fgx9; 5.01677701779
qua 01 mar 2023 17:16:25 -03; Group 2; redis-67db9bd79b-4fgx9; 6.01677701785
qua 01 mar 2023 17:16:30 -03; Group 2; redis-67db9bd79b-4fgx9; 5.01677701790
qua 01 mar 2023 17:16:35 -03; Group 2; redis-67db9bd79b-4fgx9; 5.01677701795
qua 01 mar 2023 17:16:40 -03; Group 2; redis-67db9bd79b-4fgx9; 5.01677701800
qua 01 mar 2023 17:16:46 -03; Group 2; redis-67db9bd79b-4fgx9; 6.01677701806
qua 01 mar 2023 17:16:51 -03; Group 2; redis-67db9bd79b-4fgx9; 5.01677701811
qua 01 mar 2023 17:16:56 -03; Group 2; redis-67db9bd79b-4fgx9; 5.01677701816
qua 01 mar 2023 17:17:01 -03; Group 2; redis-67db9bd79b-4fgx9; 45.01677701821
qua 01 mar 2023 17:17:07 -03; Group 2; redis-67db9bd79b-4fgx9; 6.01677701827
qua 01 mar 2023 17:17:12 -03; Group 2; redis-67db9bd79b-4fgx9; 5.01677701832
qua 01 mar 2023 17:17:17 -03; Group 2; redis-67db9bd79b-4fgx9; 5.01677701837
qua 01 mar 2023 17:17:22 -03; Group 2; redis-67db9bd79b-4fgx9; 5.01677701842
qua 01 mar 2023 17:17:28 -03; Group 2; redis-67db9bd79b-4fgx9; 6.01677701848
qua 01 mar 2023 17:17:33 -03; Group 2; redis-67db9bd79b-4fgx9; 5.01677701853
qua 01 mar 2023 17:17:38 -03; Group 2; redis-67db9bd79b-4fgx9; 5.01677701858
qua 01 mar 2023 17:17:43 -03; Group 2; redis-67db9bd79b-4fgx9; 5.01677701863
qua 01 mar 2023 17:17:48 -03; Group 2; redis-67db9bd79b-4fgx9; 5.01677701868
qua 01 mar 2023 17:17:54 -03; Group 2; redis-67db9bd79b-4fgx9; 6.01677701874
qua 01 mar 2023 17:17:59 -03; Group 2; redis-67db9bd79b-4fgx9; 5.01677701879
qua 01 mar 2023 17:18:04 -03; Group 2; redis-67db9bd79b-4fgx9; 45.01677701884
qua 01 mar 2023 17:18:09 -03; Group 2; redis-67db9bd79b-4fgx9; 5.01677701889
qua 01 mar 2023 17:18:15 -03; Group 2; redis-67db9bd79b-4fgx9; 6.01677701895
