Data; Group; Nome_POD; CURL
qua 01 mar 2023 17:18:35 -03; Group 2; result-77f68799c4-bk5gj; 20.01677701915
qua 01 mar 2023 17:18:56 -03; Group 2; result-77f68799c4-bk5gj; 21.01677701936
qua 01 mar 2023 17:19:17 -03; Group 2; result-77f68799c4-bk5gj; 61.01677701957
qua 01 mar 2023 17:19:38 -03; Group 2; result-77f68799c4-bk5gj; 21.01677701978
qua 01 mar 2023 17:19:59 -03; Group 2; result-77f68799c4-bk5gj; 21.01677701999
qua 01 mar 2023 17:20:20 -03; Group 2; result-77f68799c4-bk5gj; 61.01677702020
qua 01 mar 2023 17:20:40 -03; Group 2; result-77f68799c4-bk5gj; 20.01677702040
qua 01 mar 2023 17:21:01 -03; Group 2; result-77f68799c4-bk5gj; 61.01677702061
qua 01 mar 2023 17:21:22 -03; Group 2; result-77f68799c4-bk5gj; 21.01677702082
qua 01 mar 2023 17:21:43 -03; Group 2; result-77f68799c4-bk5gj; 21.01677702103
qua 01 mar 2023 17:22:04 -03; Group 2; result-77f68799c4-bk5gj; 61.01677702124
qua 01 mar 2023 17:22:25 -03; Group 2; result-77f68799c4-bk5gj; 21.01677702145
qua 01 mar 2023 17:22:46 -03; Group 2; result-77f68799c4-bk5gj; 21.01677702166
qua 01 mar 2023 17:23:06 -03; Group 2; result-77f68799c4-bk5gj; 60.01677702186
qua 01 mar 2023 17:23:27 -03; Group 2; result-77f68799c4-bk5gj; 20.01677702207
qua 01 mar 2023 17:23:48 -03; Group 2; result-77f68799c4-bk5gj; 21.01677702228
qua 01 mar 2023 17:24:09 -03; Group 2; result-77f68799c4-bk5gj; 61.01677702249
qua 01 mar 2023 17:24:30 -03; Group 2; result-77f68799c4-bk5gj; 21.01677702270
qua 01 mar 2023 17:24:51 -03; Group 2; result-77f68799c4-bk5gj; 21.01677702291
qua 01 mar 2023 17:25:12 -03; Group 2; result-77f68799c4-bk5gj; 61.01677702312
qua 01 mar 2023 17:25:33 -03; Group 2; result-77f68799c4-bk5gj; 21.01677702333
qua 01 mar 2023 17:25:53 -03; Group 2; result-77f68799c4-bk5gj; 20.01677702353
qua 01 mar 2023 17:26:14 -03; Group 2; result-77f68799c4-bk5gj; 61.01677702374
qua 01 mar 2023 17:26:35 -03; Group 2; result-77f68799c4-bk5gj; 21.01677702395
qua 01 mar 2023 17:26:56 -03; Group 2; result-77f68799c4-bk5gj; 21.01677702416
qua 01 mar 2023 17:27:17 -03; Group 2; result-77f68799c4-bk5gj; 61.01677702437
qua 01 mar 2023 17:27:38 -03; Group 2; result-77f68799c4-bk5gj; 21.01677702458
qua 01 mar 2023 17:27:59 -03; Group 2; result-77f68799c4-bk5gj; 21.01677702479
qua 01 mar 2023 17:28:19 -03; Group 2; result-77f68799c4-bk5gj; 60.01677702499
qua 01 mar 2023 17:28:40 -03; Group 2; result-77f68799c4-bk5gj; 21.01677702520
