Data; Group; Nome_POD; CURL
qua 01 mar 2023 17:28:45 -03; Group 2; vote-79787c6c8b-9k9kn; 5.01677702525
qua 01 mar 2023 17:28:51 -03; Group 2; vote-79787c6c8b-9k9kn; 6.01677702531
qua 01 mar 2023 17:28:56 -03; Group 2; vote-79787c6c8b-9k9kn; 5.01677702536
qua 01 mar 2023 17:29:01 -03; Group 2; vote-79787c6c8b-9k9kn; 45.01677702541
qua 01 mar 2023 17:29:06 -03; Group 2; vote-79787c6c8b-9k9kn; 5.01677702546
qua 01 mar 2023 17:29:12 -03; Group 2; vote-79787c6c8b-9k9kn; 6.01677702552
qua 01 mar 2023 17:29:17 -03; Group 2; vote-79787c6c8b-9k9kn; 5.01677702557
qua 01 mar 2023 17:29:22 -03; Group 2; vote-79787c6c8b-9k9kn; 5.01677702562
qua 01 mar 2023 17:29:27 -03; Group 2; vote-79787c6c8b-9k9kn; 5.01677702567
qua 01 mar 2023 17:29:33 -03; Group 2; vote-79787c6c8b-9k9kn; 6.01677702573
qua 01 mar 2023 17:29:38 -03; Group 2; vote-79787c6c8b-9k9kn; 5.01677702578
qua 01 mar 2023 17:29:43 -03; Group 2; vote-79787c6c8b-9k9kn; 5.01677702583
qua 01 mar 2023 17:29:48 -03; Group 2; vote-79787c6c8b-9k9kn; 5.01677702588
qua 01 mar 2023 17:29:53 -03; Group 2; vote-79787c6c8b-9k9kn; 5.01677702593
qua 01 mar 2023 17:29:59 -03; Group 2; vote-79787c6c8b-9k9kn; 6.01677702599
qua 01 mar 2023 17:30:04 -03; Group 2; vote-79787c6c8b-9k9kn; 45.01677702604
qua 01 mar 2023 17:30:09 -03; Group 2; vote-79787c6c8b-9k9kn; 5.01677702609
qua 01 mar 2023 17:30:14 -03; Group 2; vote-79787c6c8b-9k9kn; 5.01677702614
qua 01 mar 2023 17:30:20 -03; Group 2; vote-79787c6c8b-9k9kn; 6.01677702620
qua 01 mar 2023 17:30:25 -03; Group 2; vote-79787c6c8b-9k9kn; 5.01677702625
qua 01 mar 2023 17:30:30 -03; Group 2; vote-79787c6c8b-9k9kn; 5.01677702630
qua 01 mar 2023 17:30:35 -03; Group 2; vote-79787c6c8b-9k9kn; 5.01677702635
qua 01 mar 2023 17:30:41 -03; Group 2; vote-79787c6c8b-9k9kn; 5.01677702640
qua 01 mar 2023 17:30:46 -03; Group 2; vote-79787c6c8b-9k9kn; 5.01677702646
qua 01 mar 2023 17:30:51 -03; Group 2; vote-79787c6c8b-9k9kn; 5.01677702651
qua 01 mar 2023 17:30:56 -03; Group 2; vote-79787c6c8b-9k9kn; 5.01677702656
qua 01 mar 2023 17:31:01 -03; Group 2; vote-79787c6c8b-9k9kn; 45.01677702661
qua 01 mar 2023 17:31:07 -03; Group 2; vote-79787c6c8b-9k9kn; 6.01677702667
qua 01 mar 2023 17:31:12 -03; Group 2; vote-79787c6c8b-9k9kn; 5.01677702672
qua 01 mar 2023 17:31:17 -03; Group 2; vote-79787c6c8b-9k9kn; 5.01677702677
