Data; Group; Nome_POD; WGET
qua 01 mar 2023 17:02:06 -03; Group 1; vote-79787c6c8b-9k9kn; 6.01677700926
qua 01 mar 2023 17:02:11 -03; Group 1; vote-79787c6c8b-9k9kn; 5.01677700931
qua 01 mar 2023 17:02:16 -03; Group 1; vote-79787c6c8b-9k9kn; 5.01677700936
qua 01 mar 2023 17:02:21 -03; Group 1; vote-79787c6c8b-9k9kn; 5.01677700941
qua 01 mar 2023 17:02:27 -03; Group 1; vote-79787c6c8b-9k9kn; 6.01677700947
qua 01 mar 2023 17:02:32 -03; Group 1; vote-79787c6c8b-9k9kn; 5.01677700952
qua 01 mar 2023 17:02:37 -03; Group 1; vote-79787c6c8b-9k9kn; 5.01677700957
qua 01 mar 2023 17:02:42 -03; Group 1; vote-79787c6c8b-9k9kn; 5.01677700962
qua 01 mar 2023 17:02:47 -03; Group 1; vote-79787c6c8b-9k9kn; 5.01677700967
qua 01 mar 2023 17:02:53 -03; Group 1; vote-79787c6c8b-9k9kn; 6.01677700973
qua 01 mar 2023 17:02:58 -03; Group 1; vote-79787c6c8b-9k9kn; 5.01677700978
qua 01 mar 2023 17:03:03 -03; Group 1; vote-79787c6c8b-9k9kn; 45.01677700983
qua 01 mar 2023 17:03:08 -03; Group 1; vote-79787c6c8b-9k9kn; 5.01677700988
qua 01 mar 2023 17:03:14 -03; Group 1; vote-79787c6c8b-9k9kn; 6.01677700994
qua 01 mar 2023 17:03:19 -03; Group 1; vote-79787c6c8b-9k9kn; 5.01677700999
qua 01 mar 2023 17:03:24 -03; Group 1; vote-79787c6c8b-9k9kn; 5.01677701004
qua 01 mar 2023 17:03:29 -03; Group 1; vote-79787c6c8b-9k9kn; 5.01677701009
qua 01 mar 2023 17:03:35 -03; Group 1; vote-79787c6c8b-9k9kn; 6.01677701015
qua 01 mar 2023 17:03:40 -03; Group 1; vote-79787c6c8b-9k9kn; 5.01677701020
qua 01 mar 2023 17:03:45 -03; Group 1; vote-79787c6c8b-9k9kn; 5.01677701025
qua 01 mar 2023 17:03:50 -03; Group 1; vote-79787c6c8b-9k9kn; 5.01677701030
qua 01 mar 2023 17:03:56 -03; Group 1; vote-79787c6c8b-9k9kn; 6.01677701036
qua 01 mar 2023 17:04:01 -03; Group 1; vote-79787c6c8b-9k9kn; 45.01677701041
qua 01 mar 2023 17:04:06 -03; Group 1; vote-79787c6c8b-9k9kn; 5.01677701046
qua 01 mar 2023 17:04:11 -03; Group 1; vote-79787c6c8b-9k9kn; 5.01677701051
qua 01 mar 2023 17:04:17 -03; Group 1; vote-79787c6c8b-9k9kn; 6.01677701057
qua 01 mar 2023 17:04:22 -03; Group 1; vote-79787c6c8b-9k9kn; 5.01677701062
qua 01 mar 2023 17:04:27 -03; Group 1; vote-79787c6c8b-9k9kn; 5.01677701067
qua 01 mar 2023 17:04:32 -03; Group 1; vote-79787c6c8b-9k9kn; 5.01677701072
qua 01 mar 2023 17:04:38 -03; Group 1; vote-79787c6c8b-9k9kn; 6.01677701078
