Group,APT
Group 2,201.01677960372
Group 2,202.01677960494
Group 2,201.01677960615
Group 2,202.01677960737
Group 2,202.01677960859
Group 2,201.01677960980
Group 2,202.01677961102
Group 2,201.01677961223
Group 2,202.01677961345
Group 2,201.01677961466
Group 2,202.01677961588
Group 2,201.01677961709
Group 2,202.01677961831
Group 2,202.01677961953
Group 2,201.01677962074
Group 2,202.01677962196
Group 2,201.01677962317
Group 2,202.01677962439
Group 2,202.01677962561
Group 2,201.01677962682
Group 2,202.01677962804
Group 2,201.01677962925
Group 2,202.01677963047
Group 2,201.01677963168
Group 2,202.01677963290
Group 2,202.01677963412
Group 2,201.01677963533
Group 2,4202.01677963655
Group 2,201.01677963776
Group 2,202.01677963898
