Data; Group; Nome_POD; APT
sáb 04 mar 2023 19:11:20 -03; Group 2; vote-79787c6c8b-lwdmh; 10.01677967880
sáb 04 mar 2023 19:11:31 -03; Group 2; vote-79787c6c8b-lwdmh; 11.01677967891
sáb 04 mar 2023 19:11:42 -03; Group 2; vote-79787c6c8b-lwdmh; 11.01677967902
sáb 04 mar 2023 19:11:52 -03; Group 2; vote-79787c6c8b-lwdmh; 10.01677967912
sáb 04 mar 2023 19:12:03 -03; Group 2; vote-79787c6c8b-lwdmh; 51.01677967923
sáb 04 mar 2023 19:12:13 -03; Group 2; vote-79787c6c8b-lwdmh; 10.01677967933
sáb 04 mar 2023 19:12:24 -03; Group 2; vote-79787c6c8b-lwdmh; 11.01677967944
sáb 04 mar 2023 19:12:34 -03; Group 2; vote-79787c6c8b-lwdmh; 10.01677967954
sáb 04 mar 2023 19:12:45 -03; Group 2; vote-79787c6c8b-lwdmh; 11.01677967965
sáb 04 mar 2023 19:12:56 -03; Group 2; vote-79787c6c8b-lwdmh; 11.01677967976
sáb 04 mar 2023 19:13:06 -03; Group 2; vote-79787c6c8b-lwdmh; 50.01677967986
sáb 04 mar 2023 19:13:17 -03; Group 2; vote-79787c6c8b-lwdmh; 11.01677967997
sáb 04 mar 2023 19:13:27 -03; Group 2; vote-79787c6c8b-lwdmh; 10.01677968007
sáb 04 mar 2023 19:13:38 -03; Group 2; vote-79787c6c8b-lwdmh; 11.01677968018
sáb 04 mar 2023 19:13:49 -03; Group 2; vote-79787c6c8b-lwdmh; 11.01677968029
sáb 04 mar 2023 19:13:59 -03; Group 2; vote-79787c6c8b-lwdmh; 10.01677968039
sáb 04 mar 2023 19:14:10 -03; Group 2; vote-79787c6c8b-lwdmh; 51.01677968050
sáb 04 mar 2023 19:14:21 -03; Group 2; vote-79787c6c8b-lwdmh; 11.01677968061
sáb 04 mar 2023 19:14:31 -03; Group 2; vote-79787c6c8b-lwdmh; 10.01677968071
sáb 04 mar 2023 19:14:42 -03; Group 2; vote-79787c6c8b-lwdmh; 11.01677968082
sáb 04 mar 2023 19:14:52 -03; Group 2; vote-79787c6c8b-lwdmh; 10.01677968092
sáb 04 mar 2023 19:15:03 -03; Group 2; vote-79787c6c8b-lwdmh; 51.01677968103
sáb 04 mar 2023 19:15:14 -03; Group 2; vote-79787c6c8b-lwdmh; 11.01677968114
sáb 04 mar 2023 19:15:24 -03; Group 2; vote-79787c6c8b-lwdmh; 10.01677968124
sáb 04 mar 2023 19:15:35 -03; Group 2; vote-79787c6c8b-lwdmh; 11.01677968135
sáb 04 mar 2023 19:15:45 -03; Group 2; vote-79787c6c8b-lwdmh; 10.01677968145
sáb 04 mar 2023 19:15:56 -03; Group 2; vote-79787c6c8b-lwdmh; 11.01677968156
sáb 04 mar 2023 19:16:07 -03; Group 2; vote-79787c6c8b-lwdmh; 51.01677968167
sáb 04 mar 2023 19:16:17 -03; Group 2; vote-79787c6c8b-lwdmh; 10.01677968177
sáb 04 mar 2023 19:16:28 -03; Group 2; vote-79787c6c8b-lwdmh; 11.01677968188
