Data; Group; Nome_POD; WGET
sáb 04 mar 2023 21:37:22 -03; Group 1; db-684b9b49fd-sc2c4; 20.01677976642
sáb 04 mar 2023 21:37:42 -03; Group 1; db-684b9b49fd-sc2c4; 20.01677976662
sáb 04 mar 2023 21:38:03 -03; Group 1; db-684b9b49fd-sc2c4; 61.01677976683
sáb 04 mar 2023 21:38:23 -03; Group 1; db-684b9b49fd-sc2c4; 20.01677976703
sáb 04 mar 2023 21:38:43 -03; Group 1; db-684b9b49fd-sc2c4; 20.01677976723
sáb 04 mar 2023 21:39:03 -03; Group 1; db-684b9b49fd-sc2c4; 60.01677976743
sáb 04 mar 2023 21:39:24 -03; Group 1; db-684b9b49fd-sc2c4; 21.01677976764
sáb 04 mar 2023 21:39:44 -03; Group 1; db-684b9b49fd-sc2c4; 20.01677976784
sáb 04 mar 2023 21:40:04 -03; Group 1; db-684b9b49fd-sc2c4; 60.01677976804
sáb 04 mar 2023 21:40:24 -03; Group 1; db-684b9b49fd-sc2c4; 20.01677976824
sáb 04 mar 2023 21:40:45 -03; Group 1; db-684b9b49fd-sc2c4; 21.01677976845
sáb 04 mar 2023 21:41:05 -03; Group 1; db-684b9b49fd-sc2c4; 60.01677976865
sáb 04 mar 2023 21:41:25 -03; Group 1; db-684b9b49fd-sc2c4; 20.01677976885
sáb 04 mar 2023 21:41:45 -03; Group 1; db-684b9b49fd-sc2c4; 20.01677976905
sáb 04 mar 2023 21:42:06 -03; Group 1; db-684b9b49fd-sc2c4; 61.01677976926
sáb 04 mar 2023 21:42:26 -03; Group 1; db-684b9b49fd-sc2c4; 20.01677976946
sáb 04 mar 2023 21:42:46 -03; Group 1; db-684b9b49fd-sc2c4; 20.01677976966
sáb 04 mar 2023 21:43:06 -03; Group 1; db-684b9b49fd-sc2c4; 60.01677976986
sáb 04 mar 2023 21:43:27 -03; Group 1; db-684b9b49fd-sc2c4; 21.01677977007
sáb 04 mar 2023 21:43:47 -03; Group 1; db-684b9b49fd-sc2c4; 20.01677977027
sáb 04 mar 2023 21:44:07 -03; Group 1; db-684b9b49fd-sc2c4; 60.01677977047
sáb 04 mar 2023 21:44:27 -03; Group 1; db-684b9b49fd-sc2c4; 20.01677977067
sáb 04 mar 2023 21:44:48 -03; Group 1; db-684b9b49fd-sc2c4; 21.01677977088
sáb 04 mar 2023 21:45:08 -03; Group 1; db-684b9b49fd-sc2c4; 60.01677977108
sáb 04 mar 2023 21:45:28 -03; Group 1; db-684b9b49fd-sc2c4; 20.01677977128
sáb 04 mar 2023 21:45:48 -03; Group 1; db-684b9b49fd-sc2c4; 20.01677977148
sáb 04 mar 2023 21:46:09 -03; Group 1; db-684b9b49fd-sc2c4; 61.01677977169
sáb 04 mar 2023 21:46:29 -03; Group 1; db-684b9b49fd-sc2c4; 20.01677977189
sáb 04 mar 2023 21:46:49 -03; Group 1; db-684b9b49fd-sc2c4; 20.01677977209
sáb 04 mar 2023 21:47:09 -03; Group 1; db-684b9b49fd-sc2c4; 60.01677977229
sáb 04 mar 2023 21:47:15 -03; Group 1; redis-67db9bd79b-rftbr; 6.01677977235
sáb 04 mar 2023 21:47:20 -03; Group 1; redis-67db9bd79b-rftbr; 5.01677977240
sáb 04 mar 2023 21:47:26 -03; Group 1; redis-67db9bd79b-rftbr; 5.01677977245
sáb 04 mar 2023 21:47:31 -03; Group 1; redis-67db9bd79b-rftbr; 5.01677977251
sáb 04 mar 2023 21:47:36 -03; Group 1; redis-67db9bd79b-rftbr; 5.01677977256
sáb 04 mar 2023 21:47:41 -03; Group 1; redis-67db9bd79b-rftbr; 5.01677977261
sáb 04 mar 2023 21:47:47 -03; Group 1; redis-67db9bd79b-rftbr; 6.01677977267
sáb 04 mar 2023 21:47:52 -03; Group 1; redis-67db9bd79b-rftbr; 5.01677977272
sáb 04 mar 2023 21:47:57 -03; Group 1; redis-67db9bd79b-rftbr; 5.01677977277
sáb 04 mar 2023 21:48:02 -03; Group 1; redis-67db9bd79b-rftbr; 45.01677977282
sáb 04 mar 2023 21:48:08 -03; Group 1; redis-67db9bd79b-rftbr; 6.01677977288
sáb 04 mar 2023 21:48:13 -03; Group 1; redis-67db9bd79b-rftbr; 5.01677977293
sáb 04 mar 2023 21:48:18 -03; Group 1; redis-67db9bd79b-rftbr; 5.01677977298
sáb 04 mar 2023 21:48:24 -03; Group 1; redis-67db9bd79b-rftbr; 6.01677977304
sáb 04 mar 2023 21:48:29 -03; Group 1; redis-67db9bd79b-rftbr; 5.01677977309
sáb 04 mar 2023 21:48:34 -03; Group 1; redis-67db9bd79b-rftbr; 5.01677977314
sáb 04 mar 2023 21:48:39 -03; Group 1; redis-67db9bd79b-rftbr; 5.01677977319
sáb 04 mar 2023 21:48:45 -03; Group 1; redis-67db9bd79b-rftbr; 6.01677977325
sáb 04 mar 2023 21:48:50 -03; Group 1; redis-67db9bd79b-rftbr; 5.01677977330
sáb 04 mar 2023 21:48:55 -03; Group 1; redis-67db9bd79b-rftbr; 5.01677977335
sáb 04 mar 2023 21:49:01 -03; Group 1; redis-67db9bd79b-rftbr; 46.01677977341
sáb 04 mar 2023 21:49:06 -03; Group 1; redis-67db9bd79b-rftbr; 5.01677977346
sáb 04 mar 2023 21:49:11 -03; Group 1; redis-67db9bd79b-rftbr; 5.01677977351
sáb 04 mar 2023 21:49:16 -03; Group 1; redis-67db9bd79b-rftbr; 5.01677977356
sáb 04 mar 2023 21:49:22 -03; Group 1; redis-67db9bd79b-rftbr; 6.01677977362
sáb 04 mar 2023 21:49:27 -03; Group 1; redis-67db9bd79b-rftbr; 5.01677977367
sáb 04 mar 2023 21:49:32 -03; Group 1; redis-67db9bd79b-rftbr; 5.01677977372
sáb 04 mar 2023 21:49:38 -03; Group 1; redis-67db9bd79b-rftbr; 6.01677977378
sáb 04 mar 2023 21:49:43 -03; Group 1; redis-67db9bd79b-rftbr; 5.01677977383
sáb 04 mar 2023 21:49:48 -03; Group 1; redis-67db9bd79b-rftbr; 5.01677977388
sáb 04 mar 2023 21:50:08 -03; Group 1; result-77f68799c4-jtcfz; 60.01677977408
sáb 04 mar 2023 21:50:29 -03; Group 1; result-77f68799c4-jtcfz; 21.01677977429
