Data; Group; Nome_POD; WGET
sáb 04 mar 2023 21:37:22 -03; Group 1; db-684b9b49fd-sc2c4; 20.01677976642
sáb 04 mar 2023 21:37:42 -03; Group 1; db-684b9b49fd-sc2c4; 20.01677976662
sáb 04 mar 2023 21:38:03 -03; Group 1; db-684b9b49fd-sc2c4; 61.01677976683
sáb 04 mar 2023 21:38:23 -03; Group 1; db-684b9b49fd-sc2c4; 20.01677976703
sáb 04 mar 2023 21:38:43 -03; Group 1; db-684b9b49fd-sc2c4; 20.01677976723
sáb 04 mar 2023 21:39:03 -03; Group 1; db-684b9b49fd-sc2c4; 60.01677976743
sáb 04 mar 2023 21:39:24 -03; Group 1; db-684b9b49fd-sc2c4; 21.01677976764
sáb 04 mar 2023 21:39:44 -03; Group 1; db-684b9b49fd-sc2c4; 20.01677976784
sáb 04 mar 2023 21:40:04 -03; Group 1; db-684b9b49fd-sc2c4; 60.01677976804
sáb 04 mar 2023 21:40:24 -03; Group 1; db-684b9b49fd-sc2c4; 20.01677976824
sáb 04 mar 2023 21:40:45 -03; Group 1; db-684b9b49fd-sc2c4; 21.01677976845
sáb 04 mar 2023 21:41:05 -03; Group 1; db-684b9b49fd-sc2c4; 60.01677976865
sáb 04 mar 2023 21:41:25 -03; Group 1; db-684b9b49fd-sc2c4; 20.01677976885
sáb 04 mar 2023 21:41:45 -03; Group 1; db-684b9b49fd-sc2c4; 20.01677976905
sáb 04 mar 2023 21:42:06 -03; Group 1; db-684b9b49fd-sc2c4; 61.01677976926
sáb 04 mar 2023 21:42:26 -03; Group 1; db-684b9b49fd-sc2c4; 20.01677976946
sáb 04 mar 2023 21:42:46 -03; Group 1; db-684b9b49fd-sc2c4; 20.01677976966
sáb 04 mar 2023 21:43:06 -03; Group 1; db-684b9b49fd-sc2c4; 60.01677976986
sáb 04 mar 2023 21:43:27 -03; Group 1; db-684b9b49fd-sc2c4; 21.01677977007
sáb 04 mar 2023 21:43:47 -03; Group 1; db-684b9b49fd-sc2c4; 20.01677977027
sáb 04 mar 2023 21:44:07 -03; Group 1; db-684b9b49fd-sc2c4; 60.01677977047
sáb 04 mar 2023 21:44:27 -03; Group 1; db-684b9b49fd-sc2c4; 20.01677977067
sáb 04 mar 2023 21:44:48 -03; Group 1; db-684b9b49fd-sc2c4; 21.01677977088
sáb 04 mar 2023 21:45:08 -03; Group 1; db-684b9b49fd-sc2c4; 60.01677977108
sáb 04 mar 2023 21:45:28 -03; Group 1; db-684b9b49fd-sc2c4; 20.01677977128
sáb 04 mar 2023 21:45:48 -03; Group 1; db-684b9b49fd-sc2c4; 20.01677977148
sáb 04 mar 2023 21:46:09 -03; Group 1; db-684b9b49fd-sc2c4; 61.01677977169
sáb 04 mar 2023 21:46:29 -03; Group 1; db-684b9b49fd-sc2c4; 20.01677977189
sáb 04 mar 2023 21:46:49 -03; Group 1; db-684b9b49fd-sc2c4; 20.01677977209
sáb 04 mar 2023 21:47:09 -03; Group 1; db-684b9b49fd-sc2c4; 60.01677977229
