Data; Group; Nome_POD; IPERF
seg 06 mar 2023 17:25:53 -03; Group 1; redis-67db9bd79b-78588; 8.96
seg 06 mar 2023 17:26:03 -03; Group 1; redis-67db9bd79b-78588; 8.78
seg 06 mar 2023 17:26:14 -03; Group 1; redis-67db9bd79b-78588; 8.85
seg 06 mar 2023 17:26:24 -03; Group 1; redis-67db9bd79b-78588; 8.73
seg 06 mar 2023 17:26:35 -03; Group 1; redis-67db9bd79b-78588; 8.93
seg 06 mar 2023 17:26:45 -03; Group 1; redis-67db9bd79b-78588; 8.87
seg 06 mar 2023 17:26:56 -03; Group 1; redis-67db9bd79b-78588; 9.29
seg 06 mar 2023 17:27:06 -03; Group 1; redis-67db9bd79b-78588; 9.08
seg 06 mar 2023 17:27:17 -03; Group 1; redis-67db9bd79b-78588; 8.86
seg 06 mar 2023 17:27:27 -03; Group 1; redis-67db9bd79b-78588; 8.79
seg 06 mar 2023 17:27:38 -03; Group 1; redis-67db9bd79b-78588; 8.88
seg 06 mar 2023 17:27:48 -03; Group 1; redis-67db9bd79b-78588; 8.85
seg 06 mar 2023 17:27:59 -03; Group 1; redis-67db9bd79b-78588; 8.83
seg 06 mar 2023 17:28:09 -03; Group 1; redis-67db9bd79b-78588; 9.03
seg 06 mar 2023 17:28:20 -03; Group 1; redis-67db9bd79b-78588; 9.20
seg 06 mar 2023 17:28:30 -03; Group 1; redis-67db9bd79b-78588; 9.11
seg 06 mar 2023 17:28:41 -03; Group 1; redis-67db9bd79b-78588; 8.93
seg 06 mar 2023 17:28:51 -03; Group 1; redis-67db9bd79b-78588; 8.74
seg 06 mar 2023 17:29:02 -03; Group 1; redis-67db9bd79b-78588; 9.20
seg 06 mar 2023 17:29:12 -03; Group 1; redis-67db9bd79b-78588; 8.98
seg 06 mar 2023 17:29:23 -03; Group 1; redis-67db9bd79b-78588; 8.95
seg 06 mar 2023 17:29:33 -03; Group 1; redis-67db9bd79b-78588; 8.86
seg 06 mar 2023 17:29:43 -03; Group 1; redis-67db9bd79b-78588; 8.82
seg 06 mar 2023 17:29:54 -03; Group 1; redis-67db9bd79b-78588; 8.97
seg 06 mar 2023 17:30:04 -03; Group 1; redis-67db9bd79b-78588; 8.99
seg 06 mar 2023 17:30:15 -03; Group 1; redis-67db9bd79b-78588; 9.08
seg 06 mar 2023 17:30:25 -03; Group 1; redis-67db9bd79b-78588; 9.06
seg 06 mar 2023 17:30:36 -03; Group 1; redis-67db9bd79b-78588; 8.82
seg 06 mar 2023 17:30:46 -03; Group 1; redis-67db9bd79b-78588; 8.61
seg 06 mar 2023 17:30:57 -03; Group 1; redis-67db9bd79b-78588; 9.01
