Data; Group; Nome_POD; IPERF
seg 06 mar 2023 17:31:07 -03; Group 1; result-77f68799c4-f8f44; 010.08
seg 06 mar 2023 17:31:18 -03; Group 1; result-77f68799c4-f8f44; 010.09
seg 06 mar 2023 17:31:28 -03; Group 1; result-77f68799c4-f8f44; 010.08
seg 06 mar 2023 17:31:39 -03; Group 1; result-77f68799c4-f8f44; 010.08
seg 06 mar 2023 17:31:49 -03; Group 1; result-77f68799c4-f8f44; 010.08
seg 06 mar 2023 17:32:00 -03; Group 1; result-77f68799c4-f8f44; 010.08
seg 06 mar 2023 17:32:10 -03; Group 1; result-77f68799c4-f8f44; 010.08
seg 06 mar 2023 17:32:21 -03; Group 1; result-77f68799c4-f8f44; 010.08
seg 06 mar 2023 17:32:31 -03; Group 1; result-77f68799c4-f8f44; 010.08
seg 06 mar 2023 17:32:42 -03; Group 1; result-77f68799c4-f8f44; 010.08
seg 06 mar 2023 17:32:52 -03; Group 1; result-77f68799c4-f8f44; 010.08
seg 06 mar 2023 17:33:03 -03; Group 1; result-77f68799c4-f8f44; 010.09
seg 06 mar 2023 17:33:13 -03; Group 1; result-77f68799c4-f8f44; 010.08
seg 06 mar 2023 17:33:24 -03; Group 1; result-77f68799c4-f8f44; 010.08
seg 06 mar 2023 17:33:34 -03; Group 1; result-77f68799c4-f8f44; 010.08
seg 06 mar 2023 17:33:45 -03; Group 1; result-77f68799c4-f8f44; 010.09
seg 06 mar 2023 17:33:55 -03; Group 1; result-77f68799c4-f8f44; 010.08
seg 06 mar 2023 17:34:06 -03; Group 1; result-77f68799c4-f8f44; 010.09
seg 06 mar 2023 17:34:16 -03; Group 1; result-77f68799c4-f8f44; 010.08
seg 06 mar 2023 17:34:27 -03; Group 1; result-77f68799c4-f8f44; 010.08
seg 06 mar 2023 17:34:37 -03; Group 1; result-77f68799c4-f8f44; 010.09
seg 06 mar 2023 17:34:48 -03; Group 1; result-77f68799c4-f8f44; 010.09
seg 06 mar 2023 17:34:58 -03; Group 1; result-77f68799c4-f8f44; 010.09
seg 06 mar 2023 17:35:09 -03; Group 1; result-77f68799c4-f8f44; 010.09
seg 06 mar 2023 17:35:19 -03; Group 1; result-77f68799c4-f8f44; 010.09
seg 06 mar 2023 17:35:30 -03; Group 1; result-77f68799c4-f8f44; 010.08
seg 06 mar 2023 17:35:40 -03; Group 1; result-77f68799c4-f8f44; 010.08
seg 06 mar 2023 17:35:51 -03; Group 1; result-77f68799c4-f8f44; 010.08
seg 06 mar 2023 17:36:01 -03; Group 1; result-77f68799c4-f8f44; 010.08
seg 06 mar 2023 17:36:12 -03; Group 1; result-77f68799c4-f8f44; 010.08
