Data,Group,Nome_POD,IPERF
24-02-2023,Group 1,db-684b9b49fd-s8h8b,010.08
24-02-2023,Group 1,db-684b9b49fd-s8h8b,010.08
24-02-2023,Group 1,db-684b9b49fd-s8h8b,010.09
24-02-2023,Group 1,db-684b9b49fd-s8h8b,010.09
24-02-2023,Group 1,db-684b9b49fd-s8h8b,010.09
24-02-2023,Group 1,db-684b9b49fd-s8h8b,010.09
24-02-2023,Group 1,db-684b9b49fd-s8h8b,010.09
24-02-2023,Group 1,db-684b9b49fd-s8h8b,010.08
24-02-2023,Group 1,db-684b9b49fd-s8h8b,010.08
24-02-2023,Group 1,db-684b9b49fd-s8h8b,010.09
24-02-2023,Group 1,db-684b9b49fd-s8h8b,010.08
24-02-2023,Group 1,db-684b9b49fd-s8h8b,010.08
24-02-2023,Group 1,db-684b9b49fd-s8h8b,010.08
24-02-2023,Group 1,db-684b9b49fd-s8h8b,010.08
24-02-2023,Group 1,db-684b9b49fd-s8h8b,010.08
24-02-2023,Group 1,db-684b9b49fd-s8h8b,010.09
24-02-2023,Group 1,db-684b9b49fd-s8h8b,010.08
24-02-2023,Group 1,db-684b9b49fd-s8h8b,010.08
24-02-2023,Group 1,db-684b9b49fd-s8h8b,010.09
24-02-2023,Group 1,db-684b9b49fd-s8h8b,010.08
24-02-2023,Group 1,db-684b9b49fd-s8h8b,010.08
24-02-2023,Group 1,db-684b9b49fd-s8h8b,010.09
24-02-2023,Group 1,db-684b9b49fd-s8h8b,010.08
24-02-2023,Group 1,db-684b9b49fd-s8h8b,010.08
24-02-2023,Group 1,db-684b9b49fd-s8h8b,010.08
24-02-2023,Group 1,db-684b9b49fd-s8h8b,010.08
24-02-2023,Group 1,db-684b9b49fd-s8h8b,010.08
24-02-2023,Group 1,db-684b9b49fd-s8h8b,010.08
24-02-2023,Group 1,db-684b9b49fd-s8h8b,010.09
24-02-2023,Group 1,db-684b9b49fd-s8h8b,010.08
24-02-2023,Group 1,redis-67db9bd79b-vfkg5,8.59
24-02-2023,Group 1,redis-67db9bd79b-vfkg5,8.64
24-02-2023,Group 1,redis-67db9bd79b-vfkg5,8.78
24-02-2023,Group 1,redis-67db9bd79b-vfkg5,8.50
24-02-2023,Group 1,redis-67db9bd79b-vfkg5,8.77
24-02-2023,Group 1,redis-67db9bd79b-vfkg5,8.60
24-02-2023,Group 1,redis-67db9bd79b-vfkg5,8.84
24-02-2023,Group 1,redis-67db9bd79b-vfkg5,8.57
24-02-2023,Group 1,redis-67db9bd79b-vfkg5,8.88
24-02-2023,Group 1,redis-67db9bd79b-vfkg5,8.69
24-02-2023,Group 1,redis-67db9bd79b-vfkg5,8.91
24-02-2023,Group 1,redis-67db9bd79b-vfkg5,8.71
24-02-2023,Group 1,redis-67db9bd79b-vfkg5,8.85
24-02-2023,Group 1,redis-67db9bd79b-vfkg5,8.83
24-02-2023,Group 1,redis-67db9bd79b-vfkg5,9.03
24-02-2023,Group 1,redis-67db9bd79b-vfkg5,8.76
24-02-2023,Group 1,redis-67db9bd79b-vfkg5,8.80
