Data; Group; Nome_POD; IPERF
sex 24 fev 2023 15:20:41 -03; Group 1; vote-79787c6c8b-dbn8r; 8.68
sex 24 fev 2023 15:20:51 -03; Group 1; vote-79787c6c8b-dbn8r; 8.61
sex 24 fev 2023 15:21:01 -03; Group 1; vote-79787c6c8b-dbn8r; 8.80
sex 24 fev 2023 15:21:12 -03; Group 1; vote-79787c6c8b-dbn8r; 8.60
sex 24 fev 2023 15:21:22 -03; Group 1; vote-79787c6c8b-dbn8r; 8.80
sex 24 fev 2023 15:21:33 -03; Group 1; vote-79787c6c8b-dbn8r; 8.63
sex 24 fev 2023 15:21:43 -03; Group 1; vote-79787c6c8b-dbn8r; 8.89
sex 24 fev 2023 15:21:54 -03; Group 1; vote-79787c6c8b-dbn8r; 8.65
sex 24 fev 2023 15:22:04 -03; Group 1; vote-79787c6c8b-dbn8r; 8.67
sex 24 fev 2023 15:22:15 -03; Group 1; vote-79787c6c8b-dbn8r; 8.81
sex 24 fev 2023 15:22:25 -03; Group 1; vote-79787c6c8b-dbn8r; 8.77
sex 24 fev 2023 15:22:36 -03; Group 1; vote-79787c6c8b-dbn8r; 8.72
sex 24 fev 2023 15:22:46 -03; Group 1; vote-79787c6c8b-dbn8r; 8.81
sex 24 fev 2023 15:22:57 -03; Group 1; vote-79787c6c8b-dbn8r; 8.57
sex 24 fev 2023 15:23:08 -03; Group 1; vote-79787c6c8b-dbn8r; 8.76
sex 24 fev 2023 15:23:18 -03; Group 1; vote-79787c6c8b-dbn8r; 8.84
sex 24 fev 2023 15:23:29 -03; Group 1; vote-79787c6c8b-dbn8r; 8.84
sex 24 fev 2023 15:23:39 -03; Group 1; vote-79787c6c8b-dbn8r; 8.80
sex 24 fev 2023 15:23:50 -03; Group 1; vote-79787c6c8b-dbn8r; 8.99
sex 24 fev 2023 15:24:00 -03; Group 1; vote-79787c6c8b-dbn8r; 8.87
sex 24 fev 2023 15:24:11 -03; Group 1; vote-79787c6c8b-dbn8r; 8.88
sex 24 fev 2023 15:24:21 -03; Group 1; vote-79787c6c8b-dbn8r; 8.75
sex 24 fev 2023 15:24:32 -03; Group 1; vote-79787c6c8b-dbn8r; 8.93
sex 24 fev 2023 15:24:42 -03; Group 1; vote-79787c6c8b-dbn8r; 8.76
sex 24 fev 2023 15:24:53 -03; Group 1; vote-79787c6c8b-dbn8r; 8.79
sex 24 fev 2023 15:25:03 -03; Group 1; vote-79787c6c8b-dbn8r; 8.67
sex 24 fev 2023 15:25:14 -03; Group 1; vote-79787c6c8b-dbn8r; 8.71
sex 24 fev 2023 15:25:24 -03; Group 1; vote-79787c6c8b-dbn8r; 8.99
sex 24 fev 2023 15:25:35 -03; Group 1; vote-79787c6c8b-dbn8r; 8.66
sex 24 fev 2023 15:25:45 -03; Group 1; vote-79787c6c8b-dbn8r; 8.64
