Data; Group; Nome_POD; IPERF
sáb 25 fev 2023 21:31:50 -03; Group 1; vote-79787c6c8b-5z79m; 8.73
sáb 25 fev 2023 21:32:01 -03; Group 1; vote-79787c6c8b-5z79m; 9.06
sáb 25 fev 2023 21:32:11 -03; Group 1; vote-79787c6c8b-5z79m; 9.02
sáb 25 fev 2023 21:32:22 -03; Group 1; vote-79787c6c8b-5z79m; 8.97
sáb 25 fev 2023 21:32:32 -03; Group 1; vote-79787c6c8b-5z79m; 8.70
sáb 25 fev 2023 21:32:43 -03; Group 1; vote-79787c6c8b-5z79m; 8.79
sáb 25 fev 2023 21:32:53 -03; Group 1; vote-79787c6c8b-5z79m; 9.18
sáb 25 fev 2023 21:33:04 -03; Group 1; vote-79787c6c8b-5z79m; 9.05
sáb 25 fev 2023 21:33:14 -03; Group 1; vote-79787c6c8b-5z79m; 8.89
sáb 25 fev 2023 21:33:24 -03; Group 1; vote-79787c6c8b-5z79m; 9.08
sáb 25 fev 2023 21:33:35 -03; Group 1; vote-79787c6c8b-5z79m; 9.13
sáb 25 fev 2023 21:33:45 -03; Group 1; vote-79787c6c8b-5z79m; 8.95
sáb 25 fev 2023 21:33:56 -03; Group 1; vote-79787c6c8b-5z79m; 8.86
sáb 25 fev 2023 21:34:06 -03; Group 1; vote-79787c6c8b-5z79m; 8.89
sáb 25 fev 2023 21:34:17 -03; Group 1; vote-79787c6c8b-5z79m; 8.82
sáb 25 fev 2023 21:34:27 -03; Group 1; vote-79787c6c8b-5z79m; 8.95
sáb 25 fev 2023 21:34:38 -03; Group 1; vote-79787c6c8b-5z79m; 9.09
sáb 25 fev 2023 21:34:48 -03; Group 1; vote-79787c6c8b-5z79m; 9.00
sáb 25 fev 2023 21:34:59 -03; Group 1; vote-79787c6c8b-5z79m; 8.81
sáb 25 fev 2023 21:35:09 -03; Group 1; vote-79787c6c8b-5z79m; 8.78
sáb 25 fev 2023 21:35:20 -03; Group 1; vote-79787c6c8b-5z79m; 8.91
sáb 25 fev 2023 21:35:30 -03; Group 1; vote-79787c6c8b-5z79m; 9.09
sáb 25 fev 2023 21:35:41 -03; Group 1; vote-79787c6c8b-5z79m; 9.06
sáb 25 fev 2023 21:35:51 -03; Group 1; vote-79787c6c8b-5z79m; 9.20
sáb 25 fev 2023 21:36:02 -03; Group 1; vote-79787c6c8b-5z79m; 9.11
sáb 25 fev 2023 21:36:12 -03; Group 1; vote-79787c6c8b-5z79m; 8.97
sáb 25 fev 2023 21:36:23 -03; Group 1; vote-79787c6c8b-5z79m; 9.07
sáb 25 fev 2023 21:36:33 -03; Group 1; vote-79787c6c8b-5z79m; 9.02
sáb 25 fev 2023 21:36:44 -03; Group 1; vote-79787c6c8b-5z79m; 9.07
sáb 25 fev 2023 21:36:54 -03; Group 1; vote-79787c6c8b-5z79m; 9.09
