Data; Group; Nome_POD; IPERF
seg 27 fev 2023 11:28:10 -03; Group 1; result-77f68799c4-kbc42; 010.10
seg 27 fev 2023 11:28:21 -03; Group 1; result-77f68799c4-kbc42; 010.08
seg 27 fev 2023 11:28:31 -03; Group 1; result-77f68799c4-kbc42; 010.09
seg 27 fev 2023 11:28:42 -03; Group 1; result-77f68799c4-kbc42; 010.08
seg 27 fev 2023 11:28:52 -03; Group 1; result-77f68799c4-kbc42; 010.09
seg 27 fev 2023 11:29:03 -03; Group 1; result-77f68799c4-kbc42; 010.08
seg 27 fev 2023 11:29:13 -03; Group 1; result-77f68799c4-kbc42; 010.08
seg 27 fev 2023 11:29:24 -03; Group 1; result-77f68799c4-kbc42; 010.09
seg 27 fev 2023 11:29:34 -03; Group 1; result-77f68799c4-kbc42; 010.09
seg 27 fev 2023 11:29:45 -03; Group 1; result-77f68799c4-kbc42; 010.10
seg 27 fev 2023 11:29:55 -03; Group 1; result-77f68799c4-kbc42; 010.08
seg 27 fev 2023 11:30:06 -03; Group 1; result-77f68799c4-kbc42; 010.08
seg 27 fev 2023 11:30:16 -03; Group 1; result-77f68799c4-kbc42; 010.08
seg 27 fev 2023 11:30:27 -03; Group 1; result-77f68799c4-kbc42; 010.08
seg 27 fev 2023 11:30:37 -03; Group 1; result-77f68799c4-kbc42; 010.08
seg 27 fev 2023 11:30:48 -03; Group 1; result-77f68799c4-kbc42; 010.08
seg 27 fev 2023 11:30:58 -03; Group 1; result-77f68799c4-kbc42; 010.09
seg 27 fev 2023 11:31:09 -03; Group 1; result-77f68799c4-kbc42; 010.09
seg 27 fev 2023 11:31:19 -03; Group 1; result-77f68799c4-kbc42; 010.09
seg 27 fev 2023 11:31:30 -03; Group 1; result-77f68799c4-kbc42; 010.09
seg 27 fev 2023 11:31:40 -03; Group 1; result-77f68799c4-kbc42; 010.10
seg 27 fev 2023 11:31:51 -03; Group 1; result-77f68799c4-kbc42; 010.08
seg 27 fev 2023 11:32:01 -03; Group 1; result-77f68799c4-kbc42; 010.08
seg 27 fev 2023 11:32:12 -03; Group 1; result-77f68799c4-kbc42; 010.08
seg 27 fev 2023 11:32:22 -03; Group 1; result-77f68799c4-kbc42; 010.09
seg 27 fev 2023 11:32:33 -03; Group 1; result-77f68799c4-kbc42; 010.08
seg 27 fev 2023 11:32:43 -03; Group 1; result-77f68799c4-kbc42; 010.09
seg 27 fev 2023 11:32:54 -03; Group 1; result-77f68799c4-kbc42; 010.09
seg 27 fev 2023 11:33:04 -03; Group 1; result-77f68799c4-kbc42; 010.08
seg 27 fev 2023 11:33:15 -03; Group 1; result-77f68799c4-kbc42; 010.09
