Data; Group; Nome_POD; IPERF
ter 28 fev 2023 06:25:42 -03; Group 1; redis-67db9bd79b-cp5zn; 9.03
ter 28 fev 2023 06:25:52 -03; Group 1; redis-67db9bd79b-cp5zn; 9.13
ter 28 fev 2023 06:26:03 -03; Group 1; redis-67db9bd79b-cp5zn; 9.03
ter 28 fev 2023 06:26:13 -03; Group 1; redis-67db9bd79b-cp5zn; 8.96
ter 28 fev 2023 06:26:24 -03; Group 1; redis-67db9bd79b-cp5zn; 8.94
ter 28 fev 2023 06:26:34 -03; Group 1; redis-67db9bd79b-cp5zn; 9.03
ter 28 fev 2023 06:26:44 -03; Group 1; redis-67db9bd79b-cp5zn; 8.90
ter 28 fev 2023 06:26:55 -03; Group 1; redis-67db9bd79b-cp5zn; 8.95
ter 28 fev 2023 06:27:06 -03; Group 1; redis-67db9bd79b-cp5zn; 8.73
ter 28 fev 2023 06:27:16 -03; Group 1; redis-67db9bd79b-cp5zn; 9.19
ter 28 fev 2023 06:27:27 -03; Group 1; redis-67db9bd79b-cp5zn; 9.06
ter 28 fev 2023 06:27:37 -03; Group 1; redis-67db9bd79b-cp5zn; 9.13
ter 28 fev 2023 06:27:47 -03; Group 1; redis-67db9bd79b-cp5zn; 9.10
ter 28 fev 2023 06:27:58 -03; Group 1; redis-67db9bd79b-cp5zn; 9.17
ter 28 fev 2023 06:28:08 -03; Group 1; redis-67db9bd79b-cp5zn; 9.02
ter 28 fev 2023 06:28:19 -03; Group 1; redis-67db9bd79b-cp5zn; 9.12
ter 28 fev 2023 06:28:29 -03; Group 1; redis-67db9bd79b-cp5zn; 8.89
ter 28 fev 2023 06:28:40 -03; Group 1; redis-67db9bd79b-cp5zn; 9.09
ter 28 fev 2023 06:28:50 -03; Group 1; redis-67db9bd79b-cp5zn; 9.12
ter 28 fev 2023 06:29:01 -03; Group 1; redis-67db9bd79b-cp5zn; 8.74
ter 28 fev 2023 06:29:11 -03; Group 1; redis-67db9bd79b-cp5zn; 8.74
ter 28 fev 2023 06:29:22 -03; Group 1; redis-67db9bd79b-cp5zn; 9.15
ter 28 fev 2023 06:29:32 -03; Group 1; redis-67db9bd79b-cp5zn; 9.14
ter 28 fev 2023 06:29:43 -03; Group 1; redis-67db9bd79b-cp5zn; 8.88
ter 28 fev 2023 06:29:53 -03; Group 1; redis-67db9bd79b-cp5zn; 8.97
ter 28 fev 2023 06:30:04 -03; Group 1; redis-67db9bd79b-cp5zn; 9.07
ter 28 fev 2023 06:30:14 -03; Group 1; redis-67db9bd79b-cp5zn; 9.15
ter 28 fev 2023 06:30:25 -03; Group 1; redis-67db9bd79b-cp5zn; 9.14
ter 28 fev 2023 06:30:35 -03; Group 1; redis-67db9bd79b-cp5zn; 8.96
ter 28 fev 2023 06:30:46 -03; Group 1; redis-67db9bd79b-cp5zn; 8.91
