Data; Group; Nome_POD; IPERF
qua 01 mar 2023 13:37:23 -03; Group 1; db-684b9b49fd-4vb8j; 010.08
qua 01 mar 2023 13:37:33 -03; Group 1; db-684b9b49fd-4vb8j; 010.08
qua 01 mar 2023 13:37:44 -03; Group 1; db-684b9b49fd-4vb8j; 010.08
qua 01 mar 2023 13:37:54 -03; Group 1; db-684b9b49fd-4vb8j; 010.08
qua 01 mar 2023 13:38:05 -03; Group 1; db-684b9b49fd-4vb8j; 010.09
qua 01 mar 2023 13:38:15 -03; Group 1; db-684b9b49fd-4vb8j; 010.09
qua 01 mar 2023 13:38:26 -03; Group 1; db-684b9b49fd-4vb8j; 010.08
qua 01 mar 2023 13:38:36 -03; Group 1; db-684b9b49fd-4vb8j; 010.08
qua 01 mar 2023 13:38:47 -03; Group 1; db-684b9b49fd-4vb8j; 010.08
qua 01 mar 2023 13:38:57 -03; Group 1; db-684b9b49fd-4vb8j; 010.08
qua 01 mar 2023 13:39:08 -03; Group 1; db-684b9b49fd-4vb8j; 010.08
qua 01 mar 2023 13:39:18 -03; Group 1; db-684b9b49fd-4vb8j; 010.08
qua 01 mar 2023 13:39:29 -03; Group 1; db-684b9b49fd-4vb8j; 010.08
qua 01 mar 2023 13:39:39 -03; Group 1; db-684b9b49fd-4vb8j; 010.09
qua 01 mar 2023 13:39:50 -03; Group 1; db-684b9b49fd-4vb8j; 010.08
qua 01 mar 2023 13:40:00 -03; Group 1; db-684b9b49fd-4vb8j; 010.15
qua 01 mar 2023 13:40:11 -03; Group 1; db-684b9b49fd-4vb8j; 010.08
qua 01 mar 2023 13:40:21 -03; Group 1; db-684b9b49fd-4vb8j; 010.08
qua 01 mar 2023 13:40:32 -03; Group 1; db-684b9b49fd-4vb8j; 010.08
qua 01 mar 2023 13:40:42 -03; Group 1; db-684b9b49fd-4vb8j; 010.08
qua 01 mar 2023 13:40:53 -03; Group 1; db-684b9b49fd-4vb8j; 010.08
qua 01 mar 2023 13:41:03 -03; Group 1; db-684b9b49fd-4vb8j; 010.12
qua 01 mar 2023 13:41:13 -03; Group 1; db-684b9b49fd-4vb8j; 010.09
qua 01 mar 2023 13:41:24 -03; Group 1; db-684b9b49fd-4vb8j; 010.08
qua 01 mar 2023 13:41:34 -03; Group 1; db-684b9b49fd-4vb8j; 010.08
qua 01 mar 2023 13:41:45 -03; Group 1; db-684b9b49fd-4vb8j; 010.08
qua 01 mar 2023 13:41:55 -03; Group 1; db-684b9b49fd-4vb8j; 010.08
qua 01 mar 2023 13:42:06 -03; Group 1; db-684b9b49fd-4vb8j; 010.08
qua 01 mar 2023 13:42:16 -03; Group 1; db-684b9b49fd-4vb8j; 010.08
qua 01 mar 2023 13:42:27 -03; Group 1; db-684b9b49fd-4vb8j; 010.08
