Data; Group; Nome_POD; IPERF
sáb 04 mar 2023 13:53:32 -03; Group 1; redis-67db9bd79b-rftbr; 8.94
sáb 04 mar 2023 13:53:42 -03; Group 1; redis-67db9bd79b-rftbr; 9.01
sáb 04 mar 2023 13:53:53 -03; Group 1; redis-67db9bd79b-rftbr; 8.83
sáb 04 mar 2023 13:54:03 -03; Group 1; redis-67db9bd79b-rftbr; 9.12
sáb 04 mar 2023 13:54:14 -03; Group 1; redis-67db9bd79b-rftbr; 9.22
sáb 04 mar 2023 13:54:24 -03; Group 1; redis-67db9bd79b-rftbr; 8.83
sáb 04 mar 2023 13:54:34 -03; Group 1; redis-67db9bd79b-rftbr; 8.80
sáb 04 mar 2023 13:54:45 -03; Group 1; redis-67db9bd79b-rftbr; 8.93
sáb 04 mar 2023 13:54:55 -03; Group 1; redis-67db9bd79b-rftbr; 9.04
sáb 04 mar 2023 13:55:06 -03; Group 1; redis-67db9bd79b-rftbr; 9.00
sáb 04 mar 2023 13:55:16 -03; Group 1; redis-67db9bd79b-rftbr; 8.97
sáb 04 mar 2023 13:55:27 -03; Group 1; redis-67db9bd79b-rftbr; 8.89
sáb 04 mar 2023 13:55:37 -03; Group 1; redis-67db9bd79b-rftbr; 9.00
sáb 04 mar 2023 13:55:48 -03; Group 1; redis-67db9bd79b-rftbr; 8.88
sáb 04 mar 2023 13:55:58 -03; Group 1; redis-67db9bd79b-rftbr; 9.25
sáb 04 mar 2023 13:56:09 -03; Group 1; redis-67db9bd79b-rftbr; 8.82
sáb 04 mar 2023 13:56:19 -03; Group 1; redis-67db9bd79b-rftbr; 8.80
sáb 04 mar 2023 13:56:30 -03; Group 1; redis-67db9bd79b-rftbr; 8.84
sáb 04 mar 2023 13:56:40 -03; Group 1; redis-67db9bd79b-rftbr; 8.99
sáb 04 mar 2023 13:56:51 -03; Group 1; redis-67db9bd79b-rftbr; 8.94
sáb 04 mar 2023 13:57:01 -03; Group 1; redis-67db9bd79b-rftbr; 8.98
sáb 04 mar 2023 13:57:12 -03; Group 1; redis-67db9bd79b-rftbr; 8.90
sáb 04 mar 2023 13:57:22 -03; Group 1; redis-67db9bd79b-rftbr; 8.67
sáb 04 mar 2023 13:57:33 -03; Group 1; redis-67db9bd79b-rftbr; 8.85
sáb 04 mar 2023 13:57:43 -03; Group 1; redis-67db9bd79b-rftbr; 9.02
sáb 04 mar 2023 13:57:54 -03; Group 1; redis-67db9bd79b-rftbr; 9.10
sáb 04 mar 2023 13:58:04 -03; Group 1; redis-67db9bd79b-rftbr; 8.98
sáb 04 mar 2023 13:58:15 -03; Group 1; redis-67db9bd79b-rftbr; 9.11
sáb 04 mar 2023 13:58:25 -03; Group 1; redis-67db9bd79b-rftbr; 8.96
sáb 04 mar 2023 13:58:36 -03; Group 1; redis-67db9bd79b-rftbr; 9.07
