Data; Group; Nome_POD; IPERF
qua 22 fev 2023 21:15:38 -03; Group 2; worker-78b9ff59fc-hffr7; 010.09
qua 22 fev 2023 21:15:49 -03; Group 2; worker-78b9ff59fc-hffr7; 010.09
qua 22 fev 2023 21:15:59 -03; Group 2; worker-78b9ff59fc-hffr7; 010.08
qua 22 fev 2023 21:16:10 -03; Group 2; worker-78b9ff59fc-hffr7; 010.08
qua 22 fev 2023 21:16:20 -03; Group 2; worker-78b9ff59fc-hffr7; 010.08
qua 22 fev 2023 21:16:31 -03; Group 2; worker-78b9ff59fc-hffr7; 010.08
qua 22 fev 2023 21:16:41 -03; Group 2; worker-78b9ff59fc-hffr7; 010.09
qua 22 fev 2023 21:16:52 -03; Group 2; worker-78b9ff59fc-hffr7; 010.08
qua 22 fev 2023 21:17:02 -03; Group 2; worker-78b9ff59fc-hffr7; 010.08
qua 22 fev 2023 21:17:13 -03; Group 2; worker-78b9ff59fc-hffr7; 010.08
qua 22 fev 2023 21:17:24 -03; Group 2; worker-78b9ff59fc-hffr7; 010.12
qua 22 fev 2023 21:17:34 -03; Group 2; worker-78b9ff59fc-hffr7; 010.09
qua 22 fev 2023 21:17:45 -03; Group 2; worker-78b9ff59fc-hffr7; 010.08
qua 22 fev 2023 21:17:55 -03; Group 2; worker-78b9ff59fc-hffr7; 010.09
qua 22 fev 2023 21:18:06 -03; Group 2; worker-78b9ff59fc-hffr7; 010.08
qua 22 fev 2023 21:18:16 -03; Group 2; worker-78b9ff59fc-hffr7; 010.09
qua 22 fev 2023 21:18:27 -03; Group 2; worker-78b9ff59fc-hffr7; 010.09
qua 22 fev 2023 21:18:37 -03; Group 2; worker-78b9ff59fc-hffr7; 010.09
qua 22 fev 2023 21:18:47 -03; Group 2; worker-78b9ff59fc-hffr7; 010.08
qua 22 fev 2023 21:18:58 -03; Group 2; worker-78b9ff59fc-hffr7; 010.08
qua 22 fev 2023 21:19:08 -03; Group 2; worker-78b9ff59fc-hffr7; 010.09
qua 22 fev 2023 21:19:19 -03; Group 2; worker-78b9ff59fc-hffr7; 010.08
qua 22 fev 2023 21:19:29 -03; Group 2; worker-78b9ff59fc-hffr7; 010.08
qua 22 fev 2023 21:19:40 -03; Group 2; worker-78b9ff59fc-hffr7; 010.09
qua 22 fev 2023 21:19:50 -03; Group 2; worker-78b9ff59fc-hffr7; 010.09
qua 22 fev 2023 21:20:01 -03; Group 2; worker-78b9ff59fc-hffr7; 010.09
qua 22 fev 2023 21:20:11 -03; Group 2; worker-78b9ff59fc-hffr7; 010.08
qua 22 fev 2023 21:20:22 -03; Group 2; worker-78b9ff59fc-hffr7; 010.08
qua 22 fev 2023 21:20:32 -03; Group 2; worker-78b9ff59fc-hffr7; 010.08
qua 22 fev 2023 21:20:43 -03; Group 2; worker-78b9ff59fc-hffr7; 010.08
