Data; Group; Nome_POD; IPERF
sex 24 fev 2023 16:20:30 -03; Group 2; db-684b9b49fd-s8h8b; 031.71
sex 24 fev 2023 16:21:03 -03; Group 2; db-684b9b49fd-s8h8b; 031.86
sex 24 fev 2023 16:21:35 -03; Group 2; db-684b9b49fd-s8h8b; 031.85
sex 24 fev 2023 16:22:07 -03; Group 2; db-684b9b49fd-s8h8b; 031.83
sex 24 fev 2023 16:22:40 -03; Group 2; db-684b9b49fd-s8h8b; 031.88
sex 24 fev 2023 16:23:12 -03; Group 2; db-684b9b49fd-s8h8b; 031.88
sex 24 fev 2023 16:23:44 -03; Group 2; db-684b9b49fd-s8h8b; 031.85
sex 24 fev 2023 16:24:16 -03; Group 2; db-684b9b49fd-s8h8b; 031.87
sex 24 fev 2023 16:24:49 -03; Group 2; db-684b9b49fd-s8h8b; 031.84
sex 24 fev 2023 16:25:21 -03; Group 2; db-684b9b49fd-s8h8b; 031.86
sex 24 fev 2023 16:25:53 -03; Group 2; db-684b9b49fd-s8h8b; 031.82
sex 24 fev 2023 16:26:25 -03; Group 2; db-684b9b49fd-s8h8b; 031.87
sex 24 fev 2023 16:26:58 -03; Group 2; db-684b9b49fd-s8h8b; 031.86
sex 24 fev 2023 16:27:30 -03; Group 2; db-684b9b49fd-s8h8b; 031.82
sex 24 fev 2023 16:28:02 -03; Group 2; db-684b9b49fd-s8h8b; 031.85
sex 24 fev 2023 16:28:34 -03; Group 2; db-684b9b49fd-s8h8b; 031.87
sex 24 fev 2023 16:29:07 -03; Group 2; db-684b9b49fd-s8h8b; 031.85
sex 24 fev 2023 16:29:39 -03; Group 2; db-684b9b49fd-s8h8b; 031.70
sex 24 fev 2023 16:30:11 -03; Group 2; db-684b9b49fd-s8h8b; 031.67
sex 24 fev 2023 16:30:43 -03; Group 2; db-684b9b49fd-s8h8b; 031.84
sex 24 fev 2023 16:31:16 -03; Group 2; db-684b9b49fd-s8h8b; 031.82
sex 24 fev 2023 16:31:48 -03; Group 2; db-684b9b49fd-s8h8b; 031.84
sex 24 fev 2023 16:32:20 -03; Group 2; db-684b9b49fd-s8h8b; 031.85
sex 24 fev 2023 16:32:52 -03; Group 2; db-684b9b49fd-s8h8b; 031.86
sex 24 fev 2023 16:33:25 -03; Group 2; db-684b9b49fd-s8h8b; 031.88
sex 24 fev 2023 16:33:57 -03; Group 2; db-684b9b49fd-s8h8b; 031.85
sex 24 fev 2023 16:34:29 -03; Group 2; db-684b9b49fd-s8h8b; 031.63
sex 24 fev 2023 16:35:01 -03; Group 2; db-684b9b49fd-s8h8b; 031.83
sex 24 fev 2023 16:35:34 -03; Group 2; db-684b9b49fd-s8h8b; 031.84
sex 24 fev 2023 16:36:06 -03; Group 2; db-684b9b49fd-s8h8b; 031.83
