Data; Group; Nome_POD; IPERF
sex 24 fev 2023 17:24:39 -03; Group 2; worker-78b9ff59fc-vg8bx; 010.08
sex 24 fev 2023 17:24:50 -03; Group 2; worker-78b9ff59fc-vg8bx; 010.08
sex 24 fev 2023 17:25:00 -03; Group 2; worker-78b9ff59fc-vg8bx; 010.08
sex 24 fev 2023 17:25:11 -03; Group 2; worker-78b9ff59fc-vg8bx; 010.09
sex 24 fev 2023 17:25:21 -03; Group 2; worker-78b9ff59fc-vg8bx; 010.09
sex 24 fev 2023 17:25:32 -03; Group 2; worker-78b9ff59fc-vg8bx; 010.08
sex 24 fev 2023 17:25:42 -03; Group 2; worker-78b9ff59fc-vg8bx; 010.08
sex 24 fev 2023 17:25:53 -03; Group 2; worker-78b9ff59fc-vg8bx; 010.08
sex 24 fev 2023 17:26:03 -03; Group 2; worker-78b9ff59fc-vg8bx; 010.09
sex 24 fev 2023 17:26:14 -03; Group 2; worker-78b9ff59fc-vg8bx; 010.09
sex 24 fev 2023 17:26:24 -03; Group 2; worker-78b9ff59fc-vg8bx; 010.09
sex 24 fev 2023 17:26:35 -03; Group 2; worker-78b9ff59fc-vg8bx; 010.08
sex 24 fev 2023 17:26:45 -03; Group 2; worker-78b9ff59fc-vg8bx; 010.08
sex 24 fev 2023 17:26:56 -03; Group 2; worker-78b9ff59fc-vg8bx; 010.08
sex 24 fev 2023 17:27:06 -03; Group 2; worker-78b9ff59fc-vg8bx; 010.09
sex 24 fev 2023 17:27:17 -03; Group 2; worker-78b9ff59fc-vg8bx; 010.08
sex 24 fev 2023 17:27:27 -03; Group 2; worker-78b9ff59fc-vg8bx; 010.11
sex 24 fev 2023 17:27:38 -03; Group 2; worker-78b9ff59fc-vg8bx; 010.08
sex 24 fev 2023 17:27:48 -03; Group 2; worker-78b9ff59fc-vg8bx; 010.08
sex 24 fev 2023 17:27:59 -03; Group 2; worker-78b9ff59fc-vg8bx; 010.08
sex 24 fev 2023 17:28:09 -03; Group 2; worker-78b9ff59fc-vg8bx; 010.08
sex 24 fev 2023 17:28:20 -03; Group 2; worker-78b9ff59fc-vg8bx; 010.09
sex 24 fev 2023 17:28:30 -03; Group 2; worker-78b9ff59fc-vg8bx; 010.08
sex 24 fev 2023 17:28:41 -03; Group 2; worker-78b9ff59fc-vg8bx; 010.08
sex 24 fev 2023 17:28:51 -03; Group 2; worker-78b9ff59fc-vg8bx; 010.08
sex 24 fev 2023 17:29:02 -03; Group 2; worker-78b9ff59fc-vg8bx; 010.08
sex 24 fev 2023 17:29:12 -03; Group 2; worker-78b9ff59fc-vg8bx; 010.08
sex 24 fev 2023 17:29:23 -03; Group 2; worker-78b9ff59fc-vg8bx; 010.08
sex 24 fev 2023 17:29:33 -03; Group 2; worker-78b9ff59fc-vg8bx; 010.08
sex 24 fev 2023 17:29:44 -03; Group 2; worker-78b9ff59fc-vg8bx; 010.08
