Data; Group; Nome_POD; IPERF
sáb 25 fev 2023 21:46:39 -03; Group 2; db-684b9b49fd-m6zb8; 031.97
sáb 25 fev 2023 21:47:12 -03; Group 2; db-684b9b49fd-m6zb8; 031.86
sáb 25 fev 2023 21:47:44 -03; Group 2; db-684b9b49fd-m6zb8; 031.87
sáb 25 fev 2023 21:48:16 -03; Group 2; db-684b9b49fd-m6zb8; 031.87
sáb 25 fev 2023 21:48:48 -03; Group 2; db-684b9b49fd-m6zb8; 031.86
sáb 25 fev 2023 21:49:21 -03; Group 2; db-684b9b49fd-m6zb8; 031.88
sáb 25 fev 2023 21:49:53 -03; Group 2; db-684b9b49fd-m6zb8; 031.70
sáb 25 fev 2023 21:50:25 -03; Group 2; db-684b9b49fd-m6zb8; 031.87
sáb 25 fev 2023 21:50:57 -03; Group 2; db-684b9b49fd-m6zb8; 031.84
sáb 25 fev 2023 21:51:30 -03; Group 2; db-684b9b49fd-m6zb8; 031.85
sáb 25 fev 2023 21:52:02 -03; Group 2; db-684b9b49fd-m6zb8; 031.85
sáb 25 fev 2023 21:52:34 -03; Group 2; db-684b9b49fd-m6zb8; 031.88
sáb 25 fev 2023 21:53:06 -03; Group 2; db-684b9b49fd-m6zb8; 031.85
sáb 25 fev 2023 21:53:39 -03; Group 2; db-684b9b49fd-m6zb8; 031.85
sáb 25 fev 2023 21:54:11 -03; Group 2; db-684b9b49fd-m6zb8; 031.86
sáb 25 fev 2023 21:54:43 -03; Group 2; db-684b9b49fd-m6zb8; 031.86
sáb 25 fev 2023 21:55:16 -03; Group 2; db-684b9b49fd-m6zb8; 031.85
sáb 25 fev 2023 21:55:48 -03; Group 2; db-684b9b49fd-m6zb8; 031.84
sáb 25 fev 2023 21:56:20 -03; Group 2; db-684b9b49fd-m6zb8; 031.86
sáb 25 fev 2023 21:56:52 -03; Group 2; db-684b9b49fd-m6zb8; 031.82
sáb 25 fev 2023 21:57:25 -03; Group 2; db-684b9b49fd-m6zb8; 031.86
sáb 25 fev 2023 21:57:57 -03; Group 2; db-684b9b49fd-m6zb8; 031.81
sáb 25 fev 2023 21:58:29 -03; Group 2; db-684b9b49fd-m6zb8; 031.82
sáb 25 fev 2023 21:59:01 -03; Group 2; db-684b9b49fd-m6zb8; 031.88
sáb 25 fev 2023 21:59:34 -03; Group 2; db-684b9b49fd-m6zb8; 031.84
sáb 25 fev 2023 22:00:06 -03; Group 2; db-684b9b49fd-m6zb8; 031.72
sáb 25 fev 2023 22:00:38 -03; Group 2; db-684b9b49fd-m6zb8; 031.84
sáb 25 fev 2023 22:01:10 -03; Group 2; db-684b9b49fd-m6zb8; 031.88
sáb 25 fev 2023 22:01:43 -03; Group 2; db-684b9b49fd-m6zb8; 031.83
sáb 25 fev 2023 22:02:15 -03; Group 2; db-684b9b49fd-m6zb8; 031.84
sáb 25 fev 2023 22:02:47 -03; Group 2; redis-67db9bd79b-dxqz2; 31.86
sáb 25 fev 2023 22:03:19 -03; Group 2; redis-67db9bd79b-dxqz2; 31.71
sáb 25 fev 2023 22:03:52 -03; Group 2; redis-67db9bd79b-dxqz2; 31.86
sáb 25 fev 2023 22:04:24 -03; Group 2; redis-67db9bd79b-dxqz2; 31.89
sáb 25 fev 2023 22:04:56 -03; Group 2; redis-67db9bd79b-dxqz2; 31.86
sáb 25 fev 2023 22:05:28 -03; Group 2; redis-67db9bd79b-dxqz2; 31.86
sáb 25 fev 2023 22:06:01 -03; Group 2; redis-67db9bd79b-dxqz2; 31.86
sáb 25 fev 2023 22:06:33 -03; Group 2; redis-67db9bd79b-dxqz2; 31.88
sáb 25 fev 2023 22:07:05 -03; Group 2; redis-67db9bd79b-dxqz2; 31.85
sáb 25 fev 2023 22:07:37 -03; Group 2; redis-67db9bd79b-dxqz2; 31.85
sáb 25 fev 2023 22:08:10 -03; Group 2; redis-67db9bd79b-dxqz2; 31.78
sáb 25 fev 2023 22:08:42 -03; Group 2; redis-67db9bd79b-dxqz2; 31.86
sáb 25 fev 2023 22:09:14 -03; Group 2; redis-67db9bd79b-dxqz2; 31.89
sáb 25 fev 2023 22:09:46 -03; Group 2; redis-67db9bd79b-dxqz2; 31.84
sáb 25 fev 2023 22:10:19 -03; Group 2; redis-67db9bd79b-dxqz2; 31.74
sáb 25 fev 2023 22:10:51 -03; Group 2; redis-67db9bd79b-dxqz2; 31.87
sáb 25 fev 2023 22:11:23 -03; Group 2; redis-67db9bd79b-dxqz2; 31.82
sáb 25 fev 2023 22:11:55 -03; Group 2; redis-67db9bd79b-dxqz2; 31.84
sáb 25 fev 2023 22:12:28 -03; Group 2; redis-67db9bd79b-dxqz2; 31.87
sáb 25 fev 2023 22:13:00 -03; Group 2; redis-67db9bd79b-dxqz2; 31.89
sáb 25 fev 2023 22:13:32 -03; Group 2; redis-67db9bd79b-dxqz2; 31.84
sáb 25 fev 2023 22:14:04 -03; Group 2; redis-67db9bd79b-dxqz2; 31.87
sáb 25 fev 2023 22:14:37 -03; Group 2; redis-67db9bd79b-dxqz2; 31.88
sáb 25 fev 2023 22:15:09 -03; Group 2; redis-67db9bd79b-dxqz2; 31.82
sáb 25 fev 2023 22:15:41 -03; Group 2; redis-67db9bd79b-dxqz2; 31.88
sáb 25 fev 2023 22:16:13 -03; Group 2; redis-67db9bd79b-dxqz2; 31.84
sáb 25 fev 2023 22:16:46 -03; Group 2; redis-67db9bd79b-dxqz2; 31.88
sáb 25 fev 2023 22:17:18 -03; Group 2; redis-67db9bd79b-dxqz2; 31.87
sáb 25 fev 2023 22:17:50 -03; Group 2; redis-67db9bd79b-dxqz2; 31.87
sáb 25 fev 2023 22:18:23 -03; Group 2; redis-67db9bd79b-dxqz2; 31.86
sáb 25 fev 2023 22:18:55 -03; Group 2; result-77f68799c4-6z8xk; 031.85
sáb 25 fev 2023 22:19:27 -03; Group 2; result-77f68799c4-6z8xk; 031.83
sáb 25 fev 2023 22:19:59 -03; Group 2; result-77f68799c4-6z8xk; 031.75
sáb 25 fev 2023 22:20:32 -03; Group 2; result-77f68799c4-6z8xk; 031.74
sáb 25 fev 2023 22:21:04 -03; Group 2; result-77f68799c4-6z8xk; 031.88
sáb 25 fev 2023 22:21:36 -03; Group 2; result-77f68799c4-6z8xk; 031.88
sáb 25 fev 2023 22:22:08 -03; Group 2; result-77f68799c4-6z8xk; 031.87
sáb 25 fev 2023 22:22:41 -03; Group 2; result-77f68799c4-6z8xk; 031.85
