Data; Group; Nome_POD; IPERF
sáb 25 fev 2023 22:18:55 -03; Group 2; result-77f68799c4-6z8xk; 031.85
sáb 25 fev 2023 22:19:27 -03; Group 2; result-77f68799c4-6z8xk; 031.83
sáb 25 fev 2023 22:19:59 -03; Group 2; result-77f68799c4-6z8xk; 031.75
sáb 25 fev 2023 22:20:32 -03; Group 2; result-77f68799c4-6z8xk; 031.74
sáb 25 fev 2023 22:21:04 -03; Group 2; result-77f68799c4-6z8xk; 031.88
sáb 25 fev 2023 22:21:36 -03; Group 2; result-77f68799c4-6z8xk; 031.88
sáb 25 fev 2023 22:22:08 -03; Group 2; result-77f68799c4-6z8xk; 031.87
sáb 25 fev 2023 22:22:41 -03; Group 2; result-77f68799c4-6z8xk; 031.85
sáb 25 fev 2023 22:23:13 -03; Group 2; result-77f68799c4-6z8xk; 031.85
sáb 25 fev 2023 22:23:45 -03; Group 2; result-77f68799c4-6z8xk; 031.84
sáb 25 fev 2023 22:24:17 -03; Group 2; result-77f68799c4-6z8xk; 031.84
sáb 25 fev 2023 22:24:50 -03; Group 2; result-77f68799c4-6z8xk; 031.81
sáb 25 fev 2023 22:25:22 -03; Group 2; result-77f68799c4-6z8xk; 031.86
sáb 25 fev 2023 22:25:54 -03; Group 2; result-77f68799c4-6z8xk; 031.84
sáb 25 fev 2023 22:26:26 -03; Group 2; result-77f68799c4-6z8xk; 031.87
sáb 25 fev 2023 22:26:59 -03; Group 2; result-77f68799c4-6z8xk; 031.86
sáb 25 fev 2023 22:27:31 -03; Group 2; result-77f68799c4-6z8xk; 031.87
sáb 25 fev 2023 22:28:03 -03; Group 2; result-77f68799c4-6z8xk; 031.88
sáb 25 fev 2023 22:28:35 -03; Group 2; result-77f68799c4-6z8xk; 031.85
sáb 25 fev 2023 22:29:08 -03; Group 2; result-77f68799c4-6z8xk; 031.86
sáb 25 fev 2023 22:29:40 -03; Group 2; result-77f68799c4-6z8xk; 031.81
sáb 25 fev 2023 22:30:12 -03; Group 2; result-77f68799c4-6z8xk; 031.85
sáb 25 fev 2023 22:30:44 -03; Group 2; result-77f68799c4-6z8xk; 031.70
sáb 25 fev 2023 22:31:17 -03; Group 2; result-77f68799c4-6z8xk; 031.86
sáb 25 fev 2023 22:31:49 -03; Group 2; result-77f68799c4-6z8xk; 031.86
sáb 25 fev 2023 22:32:21 -03; Group 2; result-77f68799c4-6z8xk; 031.89
sáb 25 fev 2023 22:32:53 -03; Group 2; result-77f68799c4-6z8xk; 031.85
sáb 25 fev 2023 22:33:26 -03; Group 2; result-77f68799c4-6z8xk; 031.88
sáb 25 fev 2023 22:33:58 -03; Group 2; result-77f68799c4-6z8xk; 031.88
sáb 25 fev 2023 22:34:30 -03; Group 2; result-77f68799c4-6z8xk; 031.86
