Data; Group; Nome_POD; IPERF
sáb 25 fev 2023 22:50:49 -03; Group 2; worker-78b9ff59fc-shzk5; 010.08
sáb 25 fev 2023 22:50:59 -03; Group 2; worker-78b9ff59fc-shzk5; 010.08
sáb 25 fev 2023 22:51:09 -03; Group 2; worker-78b9ff59fc-shzk5; 010.08
sáb 25 fev 2023 22:51:20 -03; Group 2; worker-78b9ff59fc-shzk5; 010.09
sáb 25 fev 2023 22:51:30 -03; Group 2; worker-78b9ff59fc-shzk5; 010.08
sáb 25 fev 2023 22:51:41 -03; Group 2; worker-78b9ff59fc-shzk5; 010.08
sáb 25 fev 2023 22:51:51 -03; Group 2; worker-78b9ff59fc-shzk5; 010.08
sáb 25 fev 2023 22:52:02 -03; Group 2; worker-78b9ff59fc-shzk5; 010.09
sáb 25 fev 2023 22:52:12 -03; Group 2; worker-78b9ff59fc-shzk5; 010.09
sáb 25 fev 2023 22:52:23 -03; Group 2; worker-78b9ff59fc-shzk5; 010.09
sáb 25 fev 2023 22:52:33 -03; Group 2; worker-78b9ff59fc-shzk5; 010.08
sáb 25 fev 2023 22:52:44 -03; Group 2; worker-78b9ff59fc-shzk5; 010.09
sáb 25 fev 2023 22:52:54 -03; Group 2; worker-78b9ff59fc-shzk5; 010.09
sáb 25 fev 2023 22:53:05 -03; Group 2; worker-78b9ff59fc-shzk5; 010.09
sáb 25 fev 2023 22:53:15 -03; Group 2; worker-78b9ff59fc-shzk5; 010.08
sáb 25 fev 2023 22:53:26 -03; Group 2; worker-78b9ff59fc-shzk5; 010.08
sáb 25 fev 2023 22:53:36 -03; Group 2; worker-78b9ff59fc-shzk5; 010.08
sáb 25 fev 2023 22:53:47 -03; Group 2; worker-78b9ff59fc-shzk5; 010.08
sáb 25 fev 2023 22:53:57 -03; Group 2; worker-78b9ff59fc-shzk5; 010.08
sáb 25 fev 2023 22:54:08 -03; Group 2; worker-78b9ff59fc-shzk5; 010.08
sáb 25 fev 2023 22:54:18 -03; Group 2; worker-78b9ff59fc-shzk5; 010.08
sáb 25 fev 2023 22:54:29 -03; Group 2; worker-78b9ff59fc-shzk5; 010.08
sáb 25 fev 2023 22:54:39 -03; Group 2; worker-78b9ff59fc-shzk5; 010.08
sáb 25 fev 2023 22:54:50 -03; Group 2; worker-78b9ff59fc-shzk5; 010.09
sáb 25 fev 2023 22:55:00 -03; Group 2; worker-78b9ff59fc-shzk5; 010.08
sáb 25 fev 2023 22:55:11 -03; Group 2; worker-78b9ff59fc-shzk5; 010.09
sáb 25 fev 2023 22:55:21 -03; Group 2; worker-78b9ff59fc-shzk5; 010.08
sáb 25 fev 2023 22:55:32 -03; Group 2; worker-78b9ff59fc-shzk5; 010.08
sáb 25 fev 2023 22:55:42 -03; Group 2; worker-78b9ff59fc-shzk5; 010.08
sáb 25 fev 2023 22:55:53 -03; Group 2; worker-78b9ff59fc-shzk5; 010.08
