Data; Group; Nome_POD; IPERF
dom 26 fev 2023 18:53:21 -03; Group 2; db-684b9b49fd-tkdq8; 031.83
dom 26 fev 2023 18:53:53 -03; Group 2; db-684b9b49fd-tkdq8; 031.86
dom 26 fev 2023 18:54:25 -03; Group 2; db-684b9b49fd-tkdq8; 031.85
dom 26 fev 2023 18:54:57 -03; Group 2; db-684b9b49fd-tkdq8; 031.71
dom 26 fev 2023 18:55:30 -03; Group 2; db-684b9b49fd-tkdq8; 031.81
dom 26 fev 2023 18:56:02 -03; Group 2; db-684b9b49fd-tkdq8; 031.87
dom 26 fev 2023 18:56:34 -03; Group 2; db-684b9b49fd-tkdq8; 031.83
dom 26 fev 2023 18:57:06 -03; Group 2; db-684b9b49fd-tkdq8; 031.84
dom 26 fev 2023 18:57:39 -03; Group 2; db-684b9b49fd-tkdq8; 031.85
dom 26 fev 2023 18:58:11 -03; Group 2; db-684b9b49fd-tkdq8; 031.84
dom 26 fev 2023 18:58:43 -03; Group 2; db-684b9b49fd-tkdq8; 031.83
dom 26 fev 2023 18:59:15 -03; Group 2; db-684b9b49fd-tkdq8; 031.85
dom 26 fev 2023 18:59:48 -03; Group 2; db-684b9b49fd-tkdq8; 031.86
dom 26 fev 2023 19:00:20 -03; Group 2; db-684b9b49fd-tkdq8; 031.85
dom 26 fev 2023 19:00:52 -03; Group 2; db-684b9b49fd-tkdq8; 031.82
dom 26 fev 2023 19:01:24 -03; Group 2; db-684b9b49fd-tkdq8; 031.86
dom 26 fev 2023 19:01:57 -03; Group 2; db-684b9b49fd-tkdq8; 031.61
dom 26 fev 2023 19:02:29 -03; Group 2; db-684b9b49fd-tkdq8; 031.82
dom 26 fev 2023 19:03:01 -03; Group 2; db-684b9b49fd-tkdq8; 031.86
dom 26 fev 2023 19:03:33 -03; Group 2; db-684b9b49fd-tkdq8; 031.84
dom 26 fev 2023 19:04:06 -03; Group 2; db-684b9b49fd-tkdq8; 031.82
dom 26 fev 2023 19:04:38 -03; Group 2; db-684b9b49fd-tkdq8; 031.85
dom 26 fev 2023 19:05:10 -03; Group 2; db-684b9b49fd-tkdq8; 031.71
dom 26 fev 2023 19:05:42 -03; Group 2; db-684b9b49fd-tkdq8; 031.86
dom 26 fev 2023 19:06:15 -03; Group 2; db-684b9b49fd-tkdq8; 031.85
dom 26 fev 2023 19:06:47 -03; Group 2; db-684b9b49fd-tkdq8; 031.83
dom 26 fev 2023 19:07:19 -03; Group 2; db-684b9b49fd-tkdq8; 031.89
dom 26 fev 2023 19:07:52 -03; Group 2; db-684b9b49fd-tkdq8; 031.83
dom 26 fev 2023 19:08:24 -03; Group 2; db-684b9b49fd-tkdq8; 031.86
dom 26 fev 2023 19:08:56 -03; Group 2; db-684b9b49fd-tkdq8; 031.84
