Data; Group; Nome_POD; IPERF
ter 28 fev 2023 08:12:22 -03; Group 2; db-684b9b49fd-whqgb; 031.94
ter 28 fev 2023 08:12:55 -03; Group 2; db-684b9b49fd-whqgb; 031.87
ter 28 fev 2023 08:13:27 -03; Group 2; db-684b9b49fd-whqgb; 031.68
ter 28 fev 2023 08:13:59 -03; Group 2; db-684b9b49fd-whqgb; 031.86
ter 28 fev 2023 08:14:32 -03; Group 2; db-684b9b49fd-whqgb; 031.85
ter 28 fev 2023 08:15:04 -03; Group 2; db-684b9b49fd-whqgb; 031.84
ter 28 fev 2023 08:15:36 -03; Group 2; db-684b9b49fd-whqgb; 031.86
ter 28 fev 2023 08:16:08 -03; Group 2; db-684b9b49fd-whqgb; 031.87
ter 28 fev 2023 08:16:41 -03; Group 2; db-684b9b49fd-whqgb; 031.85
ter 28 fev 2023 08:17:13 -03; Group 2; db-684b9b49fd-whqgb; 031.84
ter 28 fev 2023 08:17:45 -03; Group 2; db-684b9b49fd-whqgb; 031.85
ter 28 fev 2023 08:18:17 -03; Group 2; db-684b9b49fd-whqgb; 031.83
ter 28 fev 2023 08:18:50 -03; Group 2; db-684b9b49fd-whqgb; 031.85
ter 28 fev 2023 08:19:22 -03; Group 2; db-684b9b49fd-whqgb; 031.71
ter 28 fev 2023 08:19:54 -03; Group 2; db-684b9b49fd-whqgb; 031.84
ter 28 fev 2023 08:20:26 -03; Group 2; db-684b9b49fd-whqgb; 031.87
ter 28 fev 2023 08:20:59 -03; Group 2; db-684b9b49fd-whqgb; 031.85
ter 28 fev 2023 08:21:31 -03; Group 2; db-684b9b49fd-whqgb; 031.85
ter 28 fev 2023 08:22:03 -03; Group 2; db-684b9b49fd-whqgb; 031.86
ter 28 fev 2023 08:22:35 -03; Group 2; db-684b9b49fd-whqgb; 031.86
ter 28 fev 2023 08:23:08 -03; Group 2; db-684b9b49fd-whqgb; 031.85
ter 28 fev 2023 08:23:40 -03; Group 2; db-684b9b49fd-whqgb; 031.83
ter 28 fev 2023 08:24:12 -03; Group 2; db-684b9b49fd-whqgb; 031.82
ter 28 fev 2023 08:24:44 -03; Group 2; db-684b9b49fd-whqgb; 031.82
ter 28 fev 2023 08:25:17 -03; Group 2; db-684b9b49fd-whqgb; 031.85
ter 28 fev 2023 08:25:49 -03; Group 2; db-684b9b49fd-whqgb; 031.85
ter 28 fev 2023 08:26:21 -03; Group 2; db-684b9b49fd-whqgb; 031.86
ter 28 fev 2023 08:26:53 -03; Group 2; db-684b9b49fd-whqgb; 031.84
ter 28 fev 2023 08:27:26 -03; Group 2; db-684b9b49fd-whqgb; 031.86
ter 28 fev 2023 08:27:58 -03; Group 2; db-684b9b49fd-whqgb; 031.86
