Data; Group; Nome_POD; IPERF
qua 01 mar 2023 15:11:15 -03; Group 2; worker-78b9ff59fc-4m8qq; 010.08
qua 01 mar 2023 15:11:26 -03; Group 2; worker-78b9ff59fc-4m8qq; 010.09
qua 01 mar 2023 15:11:36 -03; Group 2; worker-78b9ff59fc-4m8qq; 010.09
qua 01 mar 2023 15:11:47 -03; Group 2; worker-78b9ff59fc-4m8qq; 010.09
qua 01 mar 2023 15:11:57 -03; Group 2; worker-78b9ff59fc-4m8qq; 010.08
qua 01 mar 2023 15:12:08 -03; Group 2; worker-78b9ff59fc-4m8qq; 010.08
qua 01 mar 2023 15:12:18 -03; Group 2; worker-78b9ff59fc-4m8qq; 010.09
qua 01 mar 2023 15:12:29 -03; Group 2; worker-78b9ff59fc-4m8qq; 010.08
qua 01 mar 2023 15:12:39 -03; Group 2; worker-78b9ff59fc-4m8qq; 010.08
qua 01 mar 2023 15:12:50 -03; Group 2; worker-78b9ff59fc-4m8qq; 010.08
qua 01 mar 2023 15:13:00 -03; Group 2; worker-78b9ff59fc-4m8qq; 010.08
qua 01 mar 2023 15:13:11 -03; Group 2; worker-78b9ff59fc-4m8qq; 010.08
qua 01 mar 2023 15:13:21 -03; Group 2; worker-78b9ff59fc-4m8qq; 010.09
qua 01 mar 2023 15:13:32 -03; Group 2; worker-78b9ff59fc-4m8qq; 010.08
qua 01 mar 2023 15:13:42 -03; Group 2; worker-78b9ff59fc-4m8qq; 010.08
qua 01 mar 2023 15:13:53 -03; Group 2; worker-78b9ff59fc-4m8qq; 010.08
qua 01 mar 2023 15:14:03 -03; Group 2; worker-78b9ff59fc-4m8qq; 010.08
qua 01 mar 2023 15:14:14 -03; Group 2; worker-78b9ff59fc-4m8qq; 010.08
qua 01 mar 2023 15:14:24 -03; Group 2; worker-78b9ff59fc-4m8qq; 010.08
qua 01 mar 2023 15:14:35 -03; Group 2; worker-78b9ff59fc-4m8qq; 010.08
qua 01 mar 2023 15:14:45 -03; Group 2; worker-78b9ff59fc-4m8qq; 010.08
qua 01 mar 2023 15:14:56 -03; Group 2; worker-78b9ff59fc-4m8qq; 010.08
qua 01 mar 2023 15:15:06 -03; Group 2; worker-78b9ff59fc-4m8qq; 010.08
qua 01 mar 2023 15:15:17 -03; Group 2; worker-78b9ff59fc-4m8qq; 010.08
qua 01 mar 2023 15:15:27 -03; Group 2; worker-78b9ff59fc-4m8qq; 010.08
qua 01 mar 2023 15:15:38 -03; Group 2; worker-78b9ff59fc-4m8qq; 010.08
qua 01 mar 2023 15:15:48 -03; Group 2; worker-78b9ff59fc-4m8qq; 010.08
qua 01 mar 2023 15:15:58 -03; Group 2; worker-78b9ff59fc-4m8qq; 010.08
qua 01 mar 2023 15:16:09 -03; Group 2; worker-78b9ff59fc-4m8qq; 010.09
qua 01 mar 2023 15:16:19 -03; Group 2; worker-78b9ff59fc-4m8qq; 010.09
